X;Y
0;1
0.0627333;0.997974
0.125227;0.991946
0.187241;0.981995
0.248535;0.968199
0.30887;0.950635
0.368007;0.929381
0.425705;0.904515
0.481725;0.876116
0.535826;0.844261
0.58777;0.809028
0.58777;0.809028
0.637332;0.770516
0.684348;0.728907
0.72867;0.684407
0.770149;0.637218
0.808639;0.587545
0.84399;0.535591
0.876054;0.481561
0.904683;0.425659
0.92973;0.368088
0.951045;0.309052
0.951045;0.309052
0.968506;0.248764
0.982087;0.187467
0.991788;0.125414
0.99761;0.0628563
0.999553;4.63426e-05
0.997616;-0.0627638
0.9918;-0.125322
0.982104;-0.187376
0.968529;-0.248674
0.951074;-0.308964
0.951074;-0.308964
0.929764;-0.368002
0.904723;-0.425575
0.876099;-0.48148
0.844039;-0.535513
0.808693;-0.58747
0.770208;-0.637147
0.728733;-0.684339
0.684415;-0.728844
0.637403;-0.770457
0.587845;-0.808973
0.587845;-0.808973
0.535905;-0.844211
0.481806;-0.876071
0.425789;-0.904476
0.368093;-0.929346
0.308958;-0.950605
0.248624;-0.968175
0.187331;-0.981977
0.125318;-0.991934
0.0628255;-0.997968
9.26536e-05;-1
9.26536e-05;-1
-0.0626406;-0.997979
-0.125134;-0.991957
-0.187149;-0.982012
-0.248445;-0.968221
-0.308782;-0.950663
-0.367921;-0.929415
-0.425621;-0.904555
-0.481643;-0.876161
-0.535748;-0.844311
-0.587695;-0.809082
-0.587695;-0.809082
-0.63726;-0.770575
-0.68428;-0.728971
-0.728606;-0.684474
-0.77009;-0.637289
-0.808584;-0.58762
-0.84394;-0.53567
-0.87601;-0.481643
-0.904644;-0.425743
-0.929696;-0.368174
-0.951016;-0.30914
-0.951016;-0.30914
-0.968482;-0.248854
-0.982069;-0.187558
-0.991776;-0.125506
-0.997604;-0.0629487
-0.999553;-0.000138955
-0.997622;0.0626713
-0.991811;0.12523
-0.982121;0.187285
-0.968551;0.248584
-0.951102;0.308876
-0.951102;0.308876
-0.929798;0.367916
-0.904763;0.425491
-0.876144;0.481399
-0.84409;0.535435
-0.808748;0.587395
-0.770268;0.637075
-0.728797;0.684272
-0.684483;0.728781
-0.637475;0.770398
-0.58792;0.808919
-0.58792;0.808919
-0.535967;0.844171
-0.481854;0.876044
-0.425822;0.904459
-0.36811;0.929338
-0.308958;0.950604
-0.248606;0.968178
-0.187294;0.981983
-0.125263;0.99194
-0.0627512;0.997972
-6.97122e-17;1
