X;Y
0;1
0.00012959;0.999976
0.000515499;0.999903
0.00115344;0.999781
0.00203911;0.999612
0.00316822;0.999396
0.00453649;0.999132
0.00613962;0.998821
0.00797331;0.998463
0.0100333;0.998059
0.0123152;0.997609
0.0148149;0.997113
0.017528;0.996572
0.0204501;0.995986
0.0235771;0.995356
0.0269046;0.994681
0.0304284;0.993961
0.034144;0.993198
0.0380474;0.992392
0.0421341;0.991542
0.0463999;0.99065
0.0508404;0.989715
0.0554514;0.988738
0.0602287;0.98772
0.0651678;0.986659
0.0702645;0.985558
0.0755146;0.984416
0.0809136;0.983233
0.0864575;0.98201
0.0921417;0.980747
0.0979621;0.979444
0.103914;0.978102
0.109994;0.976721
0.116197;0.975302
0.122519;0.973844
0.128956;0.972349
0.135503;0.970815
0.142157;0.969245
0.148912;0.967637
0.155764;0.965992
0.16271;0.964312
0.169745;0.962595
0.176865;0.960842
0.184065;0.959054
0.19134;0.957231
0.198688;0.955373
0.206103;0.953481
0.213582;0.951554
0.221119;0.949594
0.228711;0.9476
0.236353;0.945574
0.244041;0.943514
0.251771;0.941422
0.259538;0.939297
0.267339;0.937141
0.275168;0.934953
0.283022;0.932734
0.290897;0.930483
0.298787;0.928203
0.306689;0.925892
0.314598;0.923551
0.32251;0.92118
0.330422;0.91878
0.338327;0.916351
0.346223;0.913894
0.354105;0.911408
0.361969;0.908894
0.36981;0.906352
0.377624;0.903783
0.385407;0.901187
0.393154;0.898564
0.400861;0.895915
0.408525;0.893239
0.41614;0.890538
0.423702;0.887811
0.431207;0.885059
0.438651;0.882283
0.44603;0.879481
0.453339;0.876656
0.460573;0.873807
0.467729;0.870934
0.474802;0.868038
0.481789;0.865119
0.488684;0.862178
0.495483;0.859214
0.502183;0.856228
0.508778;0.853221
0.515265;0.850192
0.521639;0.847143
0.527896;0.844072
0.534032;0.840982
0.540042;0.837871
0.545922;0.834741
0.551668;0.831591
0.557275;0.828422
0.56274;0.825235
0.568057;0.822029
0.573223;0.818805
0.578234;0.815563
0.583084;0.812304
0.58777;0.809028
0.592369;0.80572
0.59696;0.802365
0.601543;0.798964
0.606117;0.795517
0.610682;0.792024
0.615238;0.788487
0.619784;0.784904
0.624321;0.781278
0.628847;0.777607
0.633362;0.773893
0.637866;0.770135
0.642359;0.766335
0.64684;0.762492
0.651309;0.758607
0.655765;0.754681
0.660209;0.750713
0.664639;0.746705
0.669056;0.742655
0.673459;0.738566
0.677847;0.734437
0.682221;0.730268
0.68658;0.726061
0.690924;0.721815
0.695252;0.71753
0.699564;0.713208
0.703859;0.708848
0.708138;0.704452
0.712399;0.700018
0.716643;0.695548
0.720869;0.691042
0.725077;0.686501
0.729267;0.681924
0.733437;0.677313
0.737588;0.672667
0.74172;0.667987
0.745832;0.663274
0.749923;0.658527
0.753993;0.653747
0.758043;0.648935
0.762071;0.644091
0.766077;0.639214
0.770061;0.634307
0.774023;0.629368
0.777962;0.624399
0.781877;0.6194
0.785769;0.614371
0.789637;0.609312
0.793481;0.604224
0.7973;0.599108
0.801094;0.593963
0.804863;0.588791
0.808606;0.58359
0.812323;0.578363
0.816014;0.573109
0.819678;0.567828
0.823315;0.562521
0.826924;0.557189
0.830505;0.551831
0.834058;0.546449
0.837583;0.541042
0.841079;0.535611
0.844545;0.530156
0.847982;0.524678
0.851389;0.519177
0.854765;0.513653
0.858111;0.508107
0.861426;0.502539
0.864709;0.49695
0.86796;0.49134
0.87118;0.485709
0.874366;0.480057
0.87752;0.474386
0.880641;0.468695
0.883728;0.462985
0.886782;0.457257
0.889801;0.45151
0.892785;0.445744
0.895735;0.439962
0.898649;0.434162
0.901527;0.428345
0.904369;0.422511
0.907175;0.416662
0.909944;0.410797
0.912676;0.404916
0.91537;0.399021
0.918027;0.393111
0.920645;0.387186
0.923225;0.381248
0.925766;0.375297
0.928268;0.369332
0.93073;0.363355
0.933152;0.357365
0.935533;0.351364
0.937874;0.345351
0.940174;0.339327
0.942433;0.333292
0.944649;0.327247
