X;Y
0;1
0.00012959;0.999976
0.000515497;0.999903
0.00115343;0.999781
0.0020391;0.999612
0.00316821;0.999396
0.00453647;0.999132
0.0061396;0.998821
0.00797329;0.998463
0.0100333;0.998059
0.0123152;0.997609
0.0148148;0.997113
0.0175279;0.996572
0.02045;0.995986
0.023577;0.995356
0.0269045;0.994681
0.0304283;0.993961
0.0341439;0.993198
0.0380473;0.992392
0.0421339;0.991542
0.0463997;0.99065
0.0508402;0.989715
0.0554512;0.988738
0.0602285;0.98772
0.0651676;0.986659
0.0702643;0.985558
0.0755143;0.984416
0.0809134;0.983233
0.0864572;0.98201
0.0921414;0.980747
0.0979618;0.979444
0.103914;0.978102
0.109994;0.976721
0.116197;0.975302
0.122519;0.973844
0.128956;0.972348
0.135503;0.970815
0.142156;0.969244
0.148911;0.967637
0.155764;0.965992
0.16271;0.964311
0.169745;0.962595
0.176864;0.960842
0.184064;0.959054
0.19134;0.957231
0.198688;0.955373
0.206103;0.953481
0.213581;0.951554
0.221118;0.949594
0.22871;0.9476
0.236352;0.945573
0.24404;0.943514
0.25177;0.941421
0.259538;0.939297
0.267338;0.93714
0.275168;0.934952
0.283022;0.932733
0.290896;0.930483
0.298786;0.928202
0.306688;0.925891
0.314597;0.92355
0.32251;0.92118
0.330421;0.91878
0.338327;0.916351
0.346223;0.913893
0.354105;0.911408
0.361968;0.908894
0.369809;0.906352
0.377623;0.903783
0.385406;0.901187
0.393153;0.898564
0.400861;0.895914
0.408524;0.893239
0.416139;0.890538
0.423701;0.887811
0.431207;0.885059
0.438651;0.882282
0.446029;0.879481
0.453338;0.876656
0.460572;0.873807
0.467729;0.870934
0.474802;0.868038
0.481788;0.865119
0.488683;0.862177
0.495483;0.859214
0.502182;0.856228
0.508778;0.853221
0.515264;0.850192
0.521639;0.847142
0.527896;0.844072
0.534031;0.840982
0.540041;0.837871
0.545922;0.834741
0.551668;0.831591
0.557275;0.828422
0.56274;0.825235
0.568057;0.822029
0.573223;0.818805
0.578234;0.815563
0.583084;0.812304
0.58777;0.809028
0.592369;0.80572
0.59696;0.802365
0.601543;0.798964
0.606117;0.795517
0.610682;0.792024
0.615238;0.788487
0.619785;0.784904
0.624321;0.781278
0.628847;0.777607
0.633363;0.773893
0.637867;0.770135
0.64236;0.766335
0.646841;0.762493
0.65131;0.758608
0.655766;0.754681
0.66021;0.750714
0.66464;0.746705
0.669057;0.742656
0.67346;0.738567
0.677849;0.734437
0.682223;0.730269
0.686582;0.726061
0.690925;0.721815
0.695253;0.717531
0.699565;0.713209
0.703861;0.708849
0.708139;0.704452
0.712401;0.700019
0.716645;0.695549
0.720871;0.691043
0.725079;0.686502
0.729269;0.681925
0.733439;0.677314
0.73759;0.672668
0.741722;0.667988
0.745834;0.663275
0.749925;0.658528
0.753995;0.653748
0.758045;0.648936
0.762073;0.644091
0.766079;0.639215
0.770064;0.634308
0.774025;0.629369
0.777964;0.6244
0.78188;0.619401
0.785772;0.614372
0.78964;0.609313
0.793484;0.604225
0.797303;0.599109
0.801097;0.593964
0.804866;0.588792
0.808609;0.583591
0.812326;0.578364
0.816017;0.57311
0.819681;0.567829
0.823317;0.562522
0.826927;0.55719
0.830508;0.551833
0.834061;0.54645
0.837586;0.541043
0.841082;0.535612
0.844548;0.530157
0.847985;0.524679
0.851392;0.519178
0.854768;0.513654
0.858114;0.508108
0.861428;0.50254
0.864712;0.496951
0.867963;0.491341
0.871182;0.48571
0.874369;0.480058
0.877523;0.474387
0.880644;0.468696
0.883731;0.462986
0.886784;0.457258
0.889803;0.451511
0.892788;0.445745
0.895737;0.439963
0.898651;0.434163
0.901529;0.428346
0.904371;0.422512
0.907177;0.416663
0.909946;0.410798
0.912678;0.404917
0.915372;0.399021
0.918029;0.393111
0.920647;0.387187
0.923227;0.381249
0.925768;0.375297
0.928269;0.369333
0.930731;0.363355
0.933153;0.357366
0.935534;0.351364
0.937875;0.345351
0.940175;0.339327
0.942433;0.333292
0.94465;0.327247
