X;Y
0;0
0.00688349;0.00675915
0.0266111;0.0261399
0.0577986;0.0567974
0.0990617;0.0973865
0.149016;0.146562
0.206278;0.20298
0.269462;0.265294
0.337185;0.332159
0.408063;0.402232
0.48071;0.474166
0.553743;0.546617
0.625778;0.618239
0.69543;0.687688
0.761315;0.753619
0.822049;0.814687
0.876247;0.869546
0.922526;0.916852
0.9595;0.95526
0.985786;0.983424
1;1
1.01076;1.01698
1.02743;1.04732
1.04969;1.09113
1.07727;1.14851
1.10986;1.21957
1.14717;1.30443
1.1889;1.40317
1.23477;1.51593
1.28447;1.64279
1.33771;1.78386
1.39419;1.93926
1.45363;2.10909
1.51573;2.29345
1.58018;2.49246
1.6467;2.70622
1.715;2.93483
1.78477;3.17841
1.85572;3.43706
1.92757;3.71089
2;4
2.07272;4.30398
2.14535;4.62035
2.21751;4.94608
2.28882;5.27817
2.35889;5.61362
2.42734;5.9494
2.49377;6.28251
2.55782;6.60993
2.61909;6.92867
2.67721;7.2357
2.73177;7.52802
2.78241;7.80261
2.82874;8.05646
2.87037;8.28658
2.90692;8.48993
2.938;8.66352
2.96324;8.80433
2.98224;8.90936
2.99462;8.97558
3;9
3.00668;8.99401
3.02269;8.97647
3.04724;8.95554
3.07953;8.93941
3.11876;8.93623
3.16414;8.95419
3.21488;9.00145
3.27018;9.08618
3.32924;9.21655
3.39127;9.40074
3.45548;9.64692
3.52106;9.96325
3.58723;10.3579
3.65319;10.8391
3.71815;11.4149
3.7813;12.0935
3.84186;12.8832
3.89902;13.7921
3.952;14.8283
4;16
4.15246;20.3337
4.50737;30.5071
5.04673;46.0051
5.75254;66.3125
6.60682;90.9143
7.59156;119.295
8.68877;150.941
9.88046;185.335
11.1486;221.963
12.4753;260.31
13.8425;299.861
15.2321;340.101
16.6263;380.514
18.0069;420.586
19.3561;459.801
20.6558;497.645
21.8881;533.602
23.0348;567.156
24.0781;597.794
25;625
25.7869;648.386
26.4431;668.076
26.9776;684.319
27.3992;697.367
27.7167;707.47
27.9389;714.879
28.0747;719.844
28.133;722.616
28.1225;723.444
28.0522;722.581
27.9308;720.276
27.7672;716.78
27.5702;712.343
27.3487;707.217
27.1116;701.651
26.8676;695.896
26.6256;690.203
26.3944;684.823
26.1829;680.005
26;676
25.8526;673.006
25.7401;671.01
25.6603;669.943
25.6107;669.738
25.589;670.329
25.5929;671.648
25.6199;673.628
25.6676;676.203
25.7338;679.304
25.8161;682.866
25.912;686.819
26.0192;691.099
26.1354;695.637
26.2582;700.366
26.3851;705.219
26.5139;710.13
26.6421;715.03
26.7675;719.854
26.8876;724.532
27;729
27.1029;733.203
27.1965;737.146
27.2813;740.846
27.358;744.321
27.4272;747.589
27.4896;750.668
27.5458;753.577
27.5964;756.333
27.6421;758.953
27.6835;761.457
27.7212;763.861
27.7559;766.184
27.7881;768.444
27.8186;770.659
27.848;772.846
27.8769;775.024
27.9059;777.21
27.9356;779.423
27.9668;781.68
28;784
28.0357;786.396
28.074;788.868
28.1146;791.41
28.1573;794.02
28.202;796.69
28.2486;799.418
28.2969;802.198
28.3466;805.026
28.3977;807.898
28.45;810.807
28.5032;813.751
28.5573;816.724
28.6121;819.721
28.6673;822.738
28.7229;825.771
28.7786;828.814
28.8344;831.863
28.89;834.913
28.9452;837.961
29;841
29.0564;844.166
29.1162;847.567
29.1788;851.16
29.2434;854.903
29.3094;858.751
29.3761;862.663
29.4428;866.596
29.5088;870.505
29.5735;874.349
29.6361;878.085
29.696;881.668
29.7525;885.057
29.805;888.208
29.8526;891.079
29.8948;893.625
29.9308;895.806
29.9601;897.576
29.9818;898.894
29.9953;899.716
