X;Y
0.5;2
0.483928;2.01576
0.466415;2.02909
0.447544;2.04014
0.4274;2.04901
0.406065;2.05585
0.383623;2.06077
0.360159;2.06391
0.335754;2.06538
0.310493;2.06533
0.28446;2.06387
0.257737;2.06114
0.230409;2.05725
0.202558;2.05234
0.174269;2.04654
0.145625;2.03996
0.116709;2.03274
0.0876048;2.02501
0.0583964;2.01689
0.0291669;2.00851
0;2
-0.115146;1.96579
-0.227861;1.93125
-0.338049;1.89616
-0.445612;1.86031
-0.550453;1.82345
-0.652473;1.78538
-0.751576;1.74587
-0.847663;1.7047
-0.940637;1.66165
-1.0304;1.61648
-1.11686;1.56899
-1.19991;1.51895
-1.27945;1.46613
-1.3554;1.41031
-1.42765;1.35127
-1.4961;1.28879
-1.56066;1.22265
-1.62123;1.15262
-1.67771;1.07847
-1.73;1
-1.75543;0.957558
-1.77969;0.913954
-1.80277;0.869248
-1.82465;0.823501
-1.84533;0.776775
-1.86477;0.729132
-1.88298;0.680631
-1.89993;0.631335
-1.91562;0.581305
-1.93001;0.530601
-1.94311;0.479285
-1.95489;0.427418
-1.96534;0.375062
-1.97445;0.322278
-1.98219;0.269126
-1.98856;0.215668
-1.99354;0.161965
-1.99712;0.108079
-1.99928;0.05407
-2;0
-1.99928;-0.05407
-1.99712;-0.108079
-1.99354;-0.161965
-1.98856;-0.215668
-1.98219;-0.269126
-1.97445;-0.322278
-1.96534;-0.375063
-1.95489;-0.42742
-1.94311;-0.479287
-1.93001;-0.530603
-1.91562;-0.581306
-1.89994;-0.631337
-1.88298;-0.680633
-1.86478;-0.729134
-1.84533;-0.776777
-1.82465;-0.823503
-1.80277;-0.869249
-1.77969;-0.913955
-1.75543;-0.957559
-1.73;-1
-1.67771;-1.07847
-1.62123;-1.15261
-1.56066;-1.22264
-1.4961;-1.28878
-1.42764;-1.35126
-1.35539;-1.4103
-1.27944;-1.46611
-1.1999;-1.51893
-1.11684;-1.56897
-1.03039;-1.61646
-0.940622;-1.66162
-0.847647;-1.70468
-0.75156;-1.74585
-0.652458;-1.78536
-0.550439;-1.82343
-0.4456;-1.86028
-0.338039;-1.89615
-0.227853;-1.93124
-0.115141;-1.96578
0;-2
0.0291657;-2.00852
0.0583939;-2.0169
0.0876011;-2.02502
0.116704;-2.03275
0.145618;-2.03997
0.174262;-2.04655
0.20255;-2.05235
0.230399;-2.05727
0.257727;-2.06115
0.284449;-2.06389
0.310483;-2.06535
0.335743;-2.0654
0.360148;-2.06392
0.383613;-2.06079
0.406056;-2.05586
0.427391;-2.04903
0.447537;-2.04015
0.46641;-2.0291
0.483925;-2.01576
0.5;-2
0.514565;-1.98175
0.527604;-1.96122
0.539117;-1.93866
0.549102;-1.91434
0.557558;-1.88853
0.564483;-1.86147
0.569877;-1.83345
0.573737;-1.80471
0.576063;-1.77552
0.576853;-1.74615
0.576106;-1.71686
0.573821;-1.6879
0.569996;-1.65955
0.56463;-1.63206
0.557722;-1.6057
0.54927;-1.58073
0.539273;-1.55741
0.52773;-1.53601
0.514639;-1.51678
0.5;-1.5
0.483825;-1.48585
0.466189;-1.47422
0.44718;-1.46495
0.426888;-1.45787
