X;Y
0.5;2
0.499037;2.04066
0.497318;2.07628
0.494546;2.10697
0.490426;2.13287
0.484662;2.1541
0.47696;2.1708
0.467022;2.18309
0.454555;2.1911
0.439262;2.19496
0.420847;2.1948
0.399015;2.19074
0.373471;2.18291
0.343919;2.17144
0.310063;2.15646
0.271608;2.13809
0.228259;2.11647
0.179718;2.09173
0.125692;2.06398
0.0658847;2.03336
0;2
-0.0720924;1.96403
-0.149864;1.92561
-0.23262;1.88489
-0.319668;1.84205
-0.410314;1.79725
-0.503864;1.75064
-0.599624;1.7024
-0.6969;1.65268
-0.795;1.60164
-0.893229;1.54945
-0.990893;1.49627
-1.0873;1.44227
-1.18175;1.3876
-1.27356;1.33243
-1.36203;1.27692
-1.44646;1.22124
-1.52617;1.16554
-1.60046;1.11
-1.66863;1.05476
-1.73;1
-1.78406;0.945844
-1.83107;0.892297
-1.87151;0.839329
-1.90583;0.786914
-1.9345;0.735021
-1.95798;0.683622
-1.97672;0.63269
-1.99119;0.582195
-2.00186;0.532109
-2.00918;0.482404
-2.01362;0.43305
-2.01564;0.38402
-2.01569;0.335285
-2.01425;0.286816
-2.01177;0.238585
-2.00872;0.190563
-2.00556;0.142723
-2.00274;0.0950341
-2.00073;0.0474694
-2;0
-2.00085;-0.047406
-2.00297;-0.0947938
-2.00589;-0.142212
-2.00916;-0.189709
-2.01231;-0.237333
-2.01488;-0.285133
-2.0164;-0.333158
-2.01641;-0.381456
-2.01444;-0.430076
-2.01004;-0.479065
-2.00274;-0.528474
-1.99207;-0.578349
-1.97758;-0.628741
-1.95879;-0.679696
-1.93525;-0.731265
-1.90649;-0.783495
-1.87205;-0.836435
-1.83146;-0.890133
-1.78427;-0.944639
-1.73;-1
-1.66839;-1.05622
-1.59995;-1.11312
-1.52537;-1.17048
-1.44537;-1.22808
-1.36064;-1.28569
-1.27188;-1.34309
-1.1798;-1.40006
-1.08511;-1.45637
-0.988491;-1.51181
-0.89066;-1.56614
-0.792315;-1.61916
-0.69416;-1.67062
-0.596896;-1.72032
-0.501226;-1.76803
-0.407852;-1.81353
-0.317476;-1.85658
-0.230801;-1.89698
-0.148528;-1.9345
-0.0713602;-1.96891
0;-2
0.0650223;-2.02759
0.123863;-2.05172
0.176851;-2.07249
0.224313;-2.08998
0.266577;-2.10429
0.303973;-2.11551
0.336828;-2.12374
0.36547;-2.12906
0.390227;-2.13157
0.411428;-2.13136
0.429399;-2.12853
0.444471;-2.12316
0.45697;-2.11534
0.467225;-2.10518
0.475564;-2.09276
0.482315;-2.07817
0.487806;-2.06151
0.492365;-2.04286
0.49632;-2.02233
0.5;-2
0.503667;-1.97599
0.507324;-1.9505
0.510909;-1.92376
0.514358;-1.89601
0.517609;-1.86747
0.520599;-1.83836
0.523266;-1.80892
0.525546;-1.77938
0.527379;-1.74996
0.528699;-1.7209
0.529446;-1.69242
