X;Y
0.5;2
0.497352;2.0001
0.489701;2.0004
0.47749;2.00084
0.461159;2.00141
0.441152;2.00207
0.417908;2.00278
0.391869;2.00351
0.363478;2.00423
0.333176;2.00491
0.301404;2.00551
0.268604;2.006
0.235218;2.00635
0.201686;2.00652
0.168451;2.00648
0.135955;2.0062
0.104638;2.00564
0.0749423;2.00478
0.0473098;2.00357
0.0221819;2.00199
0;2
-0.0840169;1.98886
-0.171378;1.97312
-0.261569;1.95285
-0.354077;1.92815
-0.448388;1.8991
-0.543988;1.86579
-0.640362;1.82831
-0.736999;1.78673
-0.833383;1.74114
-0.929;1.69164
-1.02334;1.63831
-1.11588;1.58123
-1.20612;1.52048
-1.29353;1.45617
-1.37761;1.38836
-1.45784;1.31715
-1.53371;1.24262
-1.6047;1.16487
-1.6703;1.08396
-1.73;1
-1.75847;0.955305
-1.78523;0.909846
-1.81031;0.863656
-1.83373;0.816771
-1.85552;0.769224
-1.87568;0.72105
-1.89425;0.672283
-1.91124;0.622957
-1.92668;0.573108
-1.94058;0.522769
-1.95297;0.471974
-1.96387;0.420759
-1.97331;0.369156
-1.98129;0.317202
-1.98785;0.264929
-1.99301;0.212373
-1.99678;0.159568
-1.99919;0.106548
-2.00025;0.053347
-2;0
-1.99845;-0.0534532
-1.9956;-0.10695
-1.99146;-0.160423
-1.98605;-0.213805
-1.97936;-0.267026
-1.9714;-0.32002
-1.96218;-0.372718
-1.9517;-0.425053
-1.93996;-0.476956
-1.92699;-0.52836
-1.91277;-0.579197
-1.89732;-0.629399
-1.88064;-0.678898
-1.86274;-0.727625
-1.84362;-0.775514
-1.82329;-0.822496
-1.80176;-0.868504
-1.77903;-0.913469
-1.75511;-0.957324
-1.73;-1
-1.67824;-1.07887
-1.62219;-1.15333
-1.56196;-1.2236
-1.49764;-1.28993
-1.42936;-1.35253
-1.35721;-1.41163
-1.28129;-1.46747
-1.20172;-1.52027
-1.1186;-1.57026
-1.03203;-1.61766
-0.942117;-1.66272
-0.848973;-1.70565
-0.752698;-1.74668
-0.6534;-1.78604
-0.551182;-1.82397
-0.446151;-1.86068
-0.338412;-1.89641
-0.22807;-1.93139
-0.115231;-1.96584
0;-2
0.0291815;-2.00851
0.0584228;-2.01688
0.0876406;-2.02499
0.116752;-2.03272
0.145672;-2.03994
0.17432;-2.04651
0.20261;-2.05232
0.230461;-2.05723
0.257787;-2.06112
0.284507;-2.06386
0.310537;-2.06532
0.335794;-2.06537
0.360193;-2.0639
0.383653;-2.06077
0.406089;-2.05585
0.427418;-2.04901
0.447557;-2.04014
0.466423;-2.0291
0.483931;-2.01576
0.5;-2
0.514559;-1.98175
0.527593;-1.96122
0.539101;-1.93867
0.549082;-1.91435
0.557534;-1.88853
0.564456;-1.86147
0.569847;-1.83345
0.573705;-1.80471
0.57603;-1.77552
0.57682;-1.74615
0.576073;-1.71685
0.573788;-1.6879
0.569965;-1.65954
0.564601;-1.63205
0.557696;-1.60569
0.549247;-1.58072
0.539255;-1.5574
0.527717;-1.536
0.514633;-1.51678
0.5;-1.5
0.483833;-1.48585
0.466205;-1.47423
0.447205;-1.46497
0.426921;-1.45789
0.405442;-1.45282
0.382856;-1.44959
0.359252;-1.44802
0.334718;-1.44794
0.309342;-1.44918
0.283214;-1.45156
0.256421;-1.4549
0.229053;-1.45905
0.201198;-1.46381
0.172943;-1.46902
0.144379;-1.47451
0.115593;-1.4801
0.086673;-1.48562
0.0577088;-1.49089
0.0287882;-1.49574
0;-1.5
-0.0692041;-1.50726
-0.13708;-1.51015
-0.203609;-1.50882
-0.268772;-1.50344
-0.33255;-1.49417
-0.394923;-1.48118
-0.455873;-1.46463
-0.515381;-1.44468
-0.573427;-1.4215
-0.629992;-1.39525
-0.685057;-1.36609
-0.738603;-1.3342
-0.790612;-1.29972
-0.841063;-1.26284
-0.889938;-1.2237
-0.937217;-1.18248
-0.982882;-1.13933
-1.02691;-1.09443
-1.06929;-1.04793
-1.11;-1
-1.14448;-0.956674
-1.17762;-0.912403
-1.20936;-0.867228
-1.23968;-0.821189
-1.26853;-0.774326
-1.29588;-0.72668
-1.32169;-0.678291
-1.34592;-0.6292
-1.36853;-0.579446
-1.3895;-0.529071
-1.40877;-0.478114
-1.42632;-0.426617
-1.4421;-0.374618
-1.45608;-0.322159
-1.46822;-0.269281
-1.47848;-0.216022
-1.48683;-0.162425
-1.49322;-0.108528
-1.49763;-0.0543732
-1.5;0
-1.50032;0.0543597
-1.49859;0.108805
-1.49481;0.163246
-1.48899;0.21759
-1.48113;0.271749
-1.47122;0.32563
-1.45929;0.379142
-1.44531;0.432196
-1.42931;0.4847
-1.41128;0.536564
-1.39123;0.587696
-1.36915;0.638007
-1.34505;0.687404
-1.31893;0.735798
-1.2908;0.783097
-1.26065;0.829212
-1.2285;0.87405
-1.19434;0.917521
-1.15817;0.959535
-1.12;1
-1.07381;1.0444
-1.02523;1.08666
-0.974469;1.1268
-0.921765;1.16483
-0.867344;1.20077
-0.811434;1.23463
-0.754264;1.26644
-0.69606;1.29621
-0.637051;1.32395
-0.577465;1.34968
-0.51753;1.37341
-0.457473;1.39517
-0.397523;1.41497
-0.337907;1.43283
-0.278854;1.44875
-0.220591;1.46276
-0.163346;1.47488
-0.107347;1.48511
-0.0528227;1.49348
0;1.5
0.0227177;1.50206
0.0482716;1.5037
0.0762292;1.50495
0.106158;1.50585
0.137624;1.50642
0.170197;1.50671
0.203442;1.50675
0.236927;1.50658
0.27022;1.50622
0.302888;1.50571
0.334498;1.50509
0.364618;1.50438
0.392815;1.50364
0.418656;1.50288
0.441708;1.50214
0.461539;1.50146
0.477717;1.50087
0.489808;1.50041
0.49738;1.50011
