X;Y
0.5;2
0.49962;2.00127
0.498295;2.0048
0.495753;2.01021
0.491717;2.01708
0.485914;2.02501
0.478068;2.03362
0.467906;2.04249
0.455152;2.05123
0.439531;2.05943
0.42077;2.0667
0.398594;2.07264
0.372727;2.07684
0.342896;2.07891
0.308826;2.07844
0.270242;2.07504
0.226869;2.0683
0.178433;2.05783
0.124659;2.04322
0.0652731;2.02408
0;2
-0.0714393;1.97136
-0.148673;1.93897
-0.231;1.90307
-0.317719;1.86393
-0.408128;1.82179
-0.501525;1.77689
-0.597209;1.7295
-0.694478;1.67986
-0.792631;1.62822
-0.890967;1.57484
-0.988783;1.51995
-1.08538;1.46382
-1.18005;1.4067
-1.2721;1.34883
-1.36082;1.29047
-1.44552;1.23186
-1.52549;1.17326
-1.60002;1.11491
-1.66843;1.05708
-1.73;1
-1.78423;0.94388
-1.83139;0.888717
-1.87195;0.834458
-1.90636;0.781052
-1.93509;0.728446
-1.9586;0.676589
-1.97737;0.625428
-1.99184;0.574911
-2.0025;0.524986
-2.00979;0.475602
-2.01419;0.426705
-2.01615;0.378244
-2.01615;0.330167
-2.01464;0.282422
-2.0121;0.234956
-2.00897;0.187718
-2.00574;0.140656
-2.00286;0.0937164
-2.00079;0.0468486
-2;0
-2.0008;-0.0468797
-2.00288;-0.0938345
-2.00577;-0.140907
-2.00902;-0.188138
-2.01215;-0.235571
-2.01471;-0.283249
-2.01622;-0.331212
-2.01623;-0.379504
-2.01427;-0.428167
-2.00988;-0.477243
-2.00259;-0.526773
-1.99193;-0.576801
-1.97745;-0.627369
-1.95869;-0.678519
-1.93516;-0.730292
-1.90642;-0.782732
-1.872;-0.835881
-1.83143;-0.88978
-1.78425;-0.944472
-1.73;-1
-1.6684;-1.05636
-1.59997;-1.11338
-1.5254;-1.17083
-1.44541;-1.2285
-1.36068;-1.28616
-1.27193;-1.34359
-1.17985;-1.40058
-1.08515;-1.45689
-0.988537;-1.51232
-0.890704;-1.56663
-0.792357;-1.61961
-0.694198;-1.67104
-0.59693;-1.72069
-0.501255;-1.76835
-0.407876;-1.81379
-0.317495;-1.85679
-0.230814;-1.89713
-0.148537;-1.9346
-0.0713644;-1.96896
0;-2
0.0650259;-2.02755
0.12387;-2.05165
0.17686;-2.07239
0.224324;-2.08986
0.26659;-2.10416
0.303987;-2.11538
0.336842;-2.1236
0.365484;-2.12892
0.390242;-2.13143
0.411442;-2.13123
0.429413;-2.1284
0.444483;-2.12304
0.456981;-2.11524
0.467235;-2.10509
0.475572;-2.09269
0.482322;-2.07811
0.487811;-2.06147
0.492368;-2.04284
0.496322;-2.02232
0.5;-2
0.503666;-1.976
0.507321;-1.95052
0.510904;-1.92379
0.514351;-1.89604
0.517601;-1.8675
0.52059;-1.8384
0.523256;-1.80897
0.525536;-1.77943
0.527367;-1.75001
0.528687;-1.72094
0.529434;-1.69246
0.529544;-1.66478
0.528955;-1.63815
0.527605;-1.61278
0.52543;-1.58891
0.522368;-1.56676
0.518357;-1.54657
0.513334;-1.52856
0.507236;-1.51296
0.5;-1.5
0.491562;-1.48983
0.481846;-1.48227
0.470775;-1.47706
0.458271;-1.47396
0.444256;-1.47269
0.428653;-1.47301
0.411385;-1.47466
0.392373;-1.47738
0.37154;-1.48091
0.348809;-1.485
0.324102;-1.48939
0.29734;-1.49382
0.268448;-1.49804
0.237346;-1.50178
0.203957;-1.5048
0.168205;-1.50684
0.13001;-1.50763
0.0892966;-1.50693
0.0459856;-1.50447
0;-1.5
-0.0486765;-1.49331
-0.0998148;-1.4844
-0.153124;-1.47332
-0.208314;-1.46012
-0.265094;-1.44485
-0.323173;-1.42755
-0.382262;-1.40827
-0.442068;-1.38706
-0.502302;-1.36398
-0.562673;-1.33907
-0.622891;-1.31237
-0.682665;-1.28395
-0.741704;-1.25383
-0.799718;-1.22209
-0.856416;-1.18876
-0.911508;-1.15388
-0.964703;-1.11753
-1.01571;-1.07973
-1.06424;-1.04053
-1.11;-1
-1.15276;-0.958174
-1.19256;-0.915116
-1.22946;-0.870888
-1.26357;-0.825552
-1.29497;-0.779169
-1.32375;-0.731802
-1.34999;-0.683513
-1.37378;-0.634363
-1.39521;-0.584415
-1.41437;-0.53373
-1.43133;-0.482371
-1.4462;-0.430399
-1.45906;-0.377876
-1.46998;-0.324864
-1.47907;-0.271426
-1.48641;-0.217623
-1.49209;-0.163517
-1.49619;-0.10917
-1.49879;-0.0546433
-1.5;0
-1.49986;0.0546957
-1.49831;0.109368
-1.49525;0.163939
-1.49059;0.218329
-1.48423;0.272461
-1.47608;0.326255
-1.46604;0.379633
-1.45401;0.432517
-1.4399;0.484829
-1.42362;0.536489
-1.40506;0.587419
-1.38413;0.637541
-1.36074;0.686776
-1.3348;0.735046
-1.30619;0.782272
-1.27484;0.828376
-1.24064;0.87328
-1.20349;0.916904
-1.16331;0.95917
-1.12;1
-1.07353;1.03933
-1.02414;1.07714
-0.972161;1.11345
-0.917908;1.14824
-0.861697;1.18151
-0.803848;1.21328
-0.744677;1.24354
-0.684505;1.27229
-0.623647;1.29954
-0.562423;1.32528
-0.501151;1.34951
-0.440148;1.37224
-0.379732;1.39346
-0.320223;1.41318
-0.261937;1.4314
-0.205194;1.44812
-0.15031;1.46334
-0.0976046;1.47706
-0.0473952;1.48928
0;1.5
0.0450336;1.509
0.0883289;1.51616
0.129824;1.52162
0.169458;1.52554
0.207168;1.52806
0.242893;1.52933
0.276571;1.5295
0.30814;1.52873
0.337539;1.52716
0.364705;1.52494
0.389577;1.52222
0.412094;1.51915
0.432192;1.51589
0.449811;1.51257
0.464889;1.50935
0.477365;1.50638
0.487175;1.50382
0.494259;1.5018
0.498554;1.50047
