X;Y
0;1
0.00497714;0.999852
0.00995967;0.999702
0.0149471;0.99955
0.0199389;0.999394
0.0249346;0.999231
0.0299337;0.999062
0.0349357;0.998883
0.0399401;0.998693
0.0449465;0.998491
0.0499542;0.998275
0.0549628;0.998044
0.0599719;0.997796
0.0649809;0.997529
0.0699893;0.997242
0.0749967;0.996933
0.0800025;0.9966
0.0850062;0.996243
0.0900074;0.995859
0.0950055;0.995446
0.1;0.995004
0.10504;0.994526
0.110075;0.994017
0.115107;0.993476
0.120134;0.992905
0.125157;0.992305
0.130176;0.991675
0.13519;0.991016
0.140201;0.990328
0.145207;0.989613
0.15021;0.988871
0.155208;0.988102
0.160201;0.987307
0.165191;0.986486
0.170176;0.98564
0.175158;0.98477
0.180135;0.983875
0.185107;0.982957
0.190076;0.982016
0.19504;0.981052
0.2;0.980067
0.205049;0.97904
0.210093;0.977992
0.215133;0.976921
0.220168;0.975829
0.225199;0.974714
0.230224;0.973576
0.235244;0.972417
0.240259;0.971236
0.245269;0.970032
0.250274;0.968807
0.255273;0.967559
0.260266;0.966289
0.265254;0.964997
0.270236;0.963683
0.275212;0.962347
0.280182;0.960989
0.285146;0.959609
0.290104;0.958207
0.295055;0.956783
0.3;0.955337
0.305068;0.95383
0.310129;0.9523
0.315182;0.950747
0.320229;0.949172
0.325269;0.947575
0.330302;0.945955
0.335328;0.944314
0.340346;0.94265
0.345358;0.940965
0.350362;0.939259
0.355359;0.937531
0.360349;0.935783
0.365331;0.934013
0.370306;0.932223
0.375274;0.930413
0.380234;0.928582
0.385187;0.926731
0.390132;0.924861
0.39507;0.922971
0.4;0.921061
0.405078;0.919071
0.410147;0.917061
0.415209;0.91503
0.420262;0.91298
0.425307;0.910909
0.430344;0.908819
0.435373;0.90671
0.440394;0.904581
0.445406;0.902433
0.450411;0.900265
0.455407;0.898079
0.460395;0.895875
0.465374;0.893651
0.470346;0.89141
0.475309;0.88915
0.480264;0.886872
0.48521;0.884576
0.490148;0.882262
0.495078;0.879931
0.5;0.877583
0.505084;0.875134
0.510158;0.872668
0.515224;0.870183
0.520281;0.86768
0.525329;0.86516
0.530368;0.862622
0.535399;0.860066
0.54042;0.857494
0.545433;0.854904
0.550437;0.852297
0.555433;0.849673
0.560419;0.847033
0.565397;0.844377
0.570366;0.841704
0.575327;0.839015
0.580279;0.83631
0.585222;0.83359
0.590157;0.830854
0.595083;0.828102
0.6;0.825336
0.605085;0.822454
0.61016;0.819556
0.615227;0.816642
0.620284;0.813713
0.625333;0.810768
0.630372;0.807808
0.635403;0.804833
0.640424;0.801843
0.645437;0.798837
0.650441;0.795817
0.655436;0.792783
0.660422;0.789734
0.665399;0.786671
0.670368;0.783593
0.675328;0.780502
0.68028;0.777397
0.685222;0.774278
0.690157;0.771146
0.695083;0.768001
0.7;0.764842
0.705082;0.761558
0.710156;0.75826
0.71522;0.754949
0.720276;0.751624
0.725322;0.748286
0.73036;0.744934
0.73539;0.74157
0.74041;0.738192
0.745422;0.734802
0.750426;0.731399
0.75542;0.727984
0.760407;0.724556
0.765385;0.721116
0.770355;0.717664
0.775316;0.7142
0.780269;0.710725
0.785214;0.707237
0.790151;0.703738
0.795079;0.700228
0.8;0.696707
0.805077;0.693056
0.810146;0.689393
0.815206;0.685719
0.820257;0.682033
0.825301;0.678336
0.830336;0.674628
0.835363;0.670909
0.840382;0.667179
0.845393;0.663438
0.850396;0.659686
0.855391;0.655924
0.860378;0.652151
0.865358;0.648368
0.870329;0.644575
0.875293;0.640772
0.88025;0.636959
0.885198;0.633136
0.89014;0.629304
0.895074;0.625461
0.9;0.62161
0.905069;0.617631
0.910131;0.613642
0.915185;0.609644
0.920232;0.605636
0.925271;0.601618
0.930303;0.597592
0.935327;0.593556
0.940344;0.589511
0.945354;0.585457
0.950356;0.581394
0.955351;0.577322
0.96034;0.573242
0.965321;0.569153
0.970295;0.565056
0.975263;0.560951
0.980224;0.556837
0.985178;0.552715
0.990125;0.548585
0.995066;0.544448
1;0.540302
1.00506;0.536037
1.01011;0.531764
1.01516;0.527483
1.0202;0.523195
1.02524;0.518898
1.03026;0.514594
1.03528;0.510283
1.0403;0.505964
1.04531;0.501638
1.05031;0.497304
1.0553;0.492964
1.06029;0.488616
1.06528;0.484262
1.07025;0.479901
1.07523;0.475533
1.08019;0.471158
1.08515;0.466777
1.09011;0.46239
1.09506;0.457996
1.1;0.453596
1.10505;0.44909
1.11009;0.444577
1.11513;0.440058
1.12017;0.435532
1.12519;0.431001
1.13022;0.426464
1.13523;0.42192
1.14025;0.417371
1.14525;0.412816
1.15025;0.408256
1.15525;0.40369
1.16024;0.399118
1.16523;0.394541
1.17021;0.389959
1.17519;0.385371
1.18016;0.380778
1.18513;0.376181
1.19009;0.371578
1.19505;0.36697
1.2;0.362358
1.20504;0.357656
1.21007;0.35295
1.2151;0.348239
1.22013;0.343524
1.22515;0.338803
1.23017;0.334079
1.23518;0.329349
1.24019;0.324616
1.2452;0.319878
1.2502;0.315136
1.25519;0.31039
1.26019;0.305639
1.26518;0.300885
1.27016;0.296127
1.27514;0.291365
1.28012;0.286599
1.2851;0.281829
1.29007;0.277056
1.29504;0.272279
1.3;0.267499
1.30503;0.262651
1.31005;0.257799
1.31507;0.252945
1.32009;0.248087
1.32511;0.243225
1.33012;0.238361
1.33513;0.233494
1.34013;0.228623
1.34514;0.22375
1.35014;0.218873
1.35513;0.213994
1.36013;0.209112
1.36512;0.204228
1.37011;0.199341
1.3751;0.194451
1.38008;0.189559
1.38507;0.184664
1.39005;0.179768
1.39502;0.174868
1.4;0.169967
1.40502;0.165022
1.41003;0.160075
1.41504;0.155125
1.42005;0.150174
1.42506;0.145221
1.43007;0.140266
