X;Y
0;1
0.0782826;0.996787
0.156106;0.987272
0.233012;0.971646
0.30854;0.950099
0.382232;0.922821
0.45363;0.890002
0.522273;0.851833
0.587704;0.808503
0.649462;0.760203
0.70709;0.707123
0.70709;0.707123
0.760173;0.649497
0.808475;0.587741
0.851808;0.522312
0.88998;0.45367
0.922802;0.382274
0.950083;0.308583
0.971634;0.233056
0.987264;0.156151
0.996782;0.0783285
1;4.63268e-05
1;4.63268e-05
0.99679;-0.0782362
0.987278;-0.15606
0.971656;-0.232966
0.950112;-0.308496
0.922838;-0.382189
0.890023;-0.453589
0.851857;-0.522234
0.80853;-0.587667
0.760233;-0.649428
0.707156;-0.707058
0.707156;-0.707058
0.649533;-0.760143
0.587779;-0.808449
0.522352;-0.851784
0.453712;-0.88996
0.382318;-0.922785
0.308628;-0.950069
0.233101;-0.971623
0.156197;-0.987257
0.0783748;-0.996779
9.26536e-05;-1
9.26536e-05;-1
-0.07819;-0.996793
-0.156014;-0.987285
-0.232921;-0.971667
-0.308452;-0.950127
-0.382147;-0.922856
-0.453547;-0.890044
-0.522194;-0.851881
-0.587629;-0.808558
-0.649392;-0.760264
-0.707025;-0.707189
-0.707025;-0.707189
-0.760113;-0.649569
-0.808421;-0.587817
-0.85176;-0.522392
-0.889938;-0.453754
-0.922767;-0.382361
-0.950055;-0.308672
-0.971612;-0.233146
-0.987249;-0.156243
-0.996775;-0.078421
-1;-0.00013898
-1;-0.00013898
-0.996797;0.0781439
-0.987293;0.155969
-0.971678;0.232876
-0.950142;0.308408
-0.922874;0.382104
-0.890066;0.453506
-0.851906;0.522155
-0.808585;0.587592
-0.760294;0.649357
-0.707221;0.706992
-0.707221;0.706992
-0.649589;0.760094
-0.587823;0.808414
-0.522383;0.851762
-0.453727;0.889948
-0.382316;0.922782
-0.308609;0.950072
-0.233064;0.97163
-0.156141;0.987264
-0.0783002;0.996784
-8.70156e-17;1
