X;Y
-3.18;-8.7
-2.90459;-8.78951
-2.62655;-8.8704
-2.34615;-8.9426
-2.06367;-9.00606
-1.77937;-9.06073
-1.49352;-9.10653
-1.20639;-9.14342
-0.918249;-9.17133
-0.629362;-9.19021
-0.34;-9.2
-0.34;-9.2
-0.0510132;-9.20066
0.237882;-9.19223
0.526387;-9.17473
0.814204;-9.14817
1.10104;-9.11259
1.38659;-9.06801
1.67056;-9.01443
1.95265;-8.95189
2.23256;-8.88041
2.51;-8.8
2.51;-8.8
2.78531;-8.7105
3.05762;-8.61222
3.32667;-8.50533
3.59226;-8.38999
3.85414;-8.26638
4.11209;-8.13466
4.36588;-7.995
4.61528;-7.84755
4.86007;-7.6925
5.1;-7.53
5.1;-7.53
5.33493;-7.36017
5.56453;-7.18321
5.78856;-6.99928
6.00676;-6.80855
6.21891;-6.61116
6.42473;-6.40728
6.624;-6.19707
6.81647;-5.98068
7.00188;-5.75827
7.18;-5.53
7.18;-5.53
7.35058;-5.29607
7.51352;-5.05671
7.66872;-4.81221
7.81608;-4.56284
7.9555;-4.30888
8.08688;-4.05061
8.21012;-3.78831
8.32512;-3.52226
8.43178;-3.25273
8.53;-2.98
8.53;-2.98
8.61964;-2.70451
8.70068;-2.42638
8.77303;-2.1459
8.83663;-1.86334
8.89139;-1.57898
8.93724;-1.29311
8.9741;-1.00599
9.0019;-0.717914
9.02056;-0.429157
9.03;-0.14
9.03;-0.14
9.03018;0.148706
9.0212;0.437276
9.00314;0.725451
8.97608;1.01297
8.94013;1.29959
8.89537;1.58504
8.84189;1.86906
8.77977;2.1514
8.70911;2.4318
8.63;2.71
8.63;2.71
8.54116;2.9898
8.44373;3.26675
8.33777;3.54051
8.22331;3.81076
8.10037;4.07716
7.96901;4.33939
7.82926;4.59711
7.68114;4.85001
7.52471;5.09775
7.36;5.34
7.36;5.34
7.19094;5.57137
7.01427;5.79703
6.83027;6.01684
6.6392;6.23067
6.44135;6.43836
6.23699;6.63979
6.0264;6.83481
5.80985;7.02328
5.58763;7.20506
5.36;7.38
5.36;7.38
5.12489;7.54961
4.88478;7.71194
4.63987;7.86685
4.3904;8.01418
4.13658;8.15376
3.87864;8.28544
3.61679;8.40906
3.35125;8.52447
3.08225;8.6315
2.81;8.73
2.81;8.73
2.53489;8.81978
2.25705;8.90084
1.97676;8.97313
1.6943;9.03661
1.40996;9.09124
1.12402;9.13697
0.83677;9.17375
0.548494;9.20155
0.259475;9.22031
-0.03;9.23
-0.03;9.23
-0.319069;9.23059
-0.608015;9.22211
-0.896547;9.20459
-1.18437;9.17803
-1.47119;9.14246
-1.75672;9.09789
-2.04065;9.04434
-2.32271;8.98184
-2.60259;8.91038
-2.88;8.83
-2.88;8.83
-3.15529;8.74052
-3.42758;8.64225
-3.69664;8.53536
-3.96222;8.42003
-4.22411;8.29641
-4.48207;8.16469
-4.73587;8.02501
-4.98528;7.87756
-5.23006;7.7225
-5.47;7.56
-5.47;7.56
-5.70492;7.39017
-5.93452;7.21321
-6.15854;7.02929
-6.37674;6.83856
-6.58887;6.64118
-6.79469;6.4373
-6.99396;6.22709
-7.18643;6.0107
-7.37186;5.78828
-7.55;5.56
-7.55;5.56
-7.72062;5.32605
-7.8836;5.08667
-8.03884;4.84214
-8.18623;4.59275
-8.32568;4.33878
-8.45707;4.0805
-8.5803;3.81821
-8.69527;3.55217
-8.80187;3.28267
-8.9;3.01
-8.9;3.01
-8.98951;2.73459
-9.0704;2.45655
-9.1426;2.17615
-9.20606;1.89367
-9.26073;1.60937
-9.30653;1.32352
-9.34342;1.03639
-9.37133;0.748248
-9.39021;0.459362
-9.4;0.17
-9.4;0.17
-9.40066;-0.118986
-9.39223;-0.40788
-9.37473;-0.696384
-9.34818;-0.984201
-9.3126;-1.27103
-9.26801;-1.55658
-9.21443;-1.84055
-9.15189;-2.12264
-9.08041;-2.40256
-9;-2.68
-9;-2.68
-8.9105;-2.95532
-8.81221;-3.22762
-8.70532;-3.49668
-8.58999;-3.76227
-8.46638;-4.02415
-8.33465;-4.28211
-8.19499;-4.5359
-8.04755;-4.7853
-7.89249;-5.03007
-7.73;-5.27
-7.73;-5.27
-7.56017;-5.50492
-7.38322;-5.73451
-7.1993;-5.95853
-7.00857;-6.17672
-6.81119;-6.38886
-6.60731;-6.59468
-6.3971;-6.79396
-6.1807;-6.98643
-5.95828;-7.17186
-5.73;-7.35
-5.73;-7.35
-5.49605;-7.52062
-5.25667;-7.6836
-5.01214;-7.83884
-4.76275;-7.98623
-4.50878;-8.12568
-4.2505;-8.25707
-3.9882;-8.3803
-3.72217;-8.49527
-3.45267;-8.60187
-3.18;-8.7
