Laranja,Banana,Kiwi,Maca,Limao,Tomate,Alface,Cebola,Pepino,Alho
,,S,S,S,S,S,,,
S,S,S,,,,,S,,S
,S,,,,S,S,,S,S
,,,,,S,S,,S,
S,S,,,S,,S,,S,
S,S,,,S,,S,,S,
,,S,,,,S,S,,
,S,,S,S,,,S,S,
,,,,S,,S,,,S
S,S,,S,,,,,S,
,,S,S,,,,,S,S
,S,S,,,S,,S,S,
S,,S,,S,S,,,,
,S,S,,,,,,S,
,,S,,,S,S,S,,
S,,S,,,S,,,S,S
S,S,,,S,,S,S,,
,,S,S,,,,S,S,S
,,,S,,,,,S,S
,,,,S,,S,S,S,S
,S,S,,S,,S,,,S
S,,,,,S,,,S,S
,,,,S,S,S,S,S,
,,S,,,S,S,S,S,
,S,,,,S,,,S,
,S,,S,S,S,S,,,
,S,S,,S,,,,,S
S,S,,S,,,S,S,,
S,S,,,S,S,S,,,
,S,S,S,S,,S,,,
,S,,,,,,S,S,
,S,,,,S,S,S,S,
,S,,,,,S,,,S
,,S,S,,,,S,S,
,,S,S,,,,S,S,S
S,,,S,,S,S,,,
S,,,S,,S,S,S,,
,S,S,,,,S,,S,S
,S,,S,S,S,,,,
,S,,S,S,,S,S,,
,,,,,,S,,,
S,,,,,S,,,,S
,S,S,S,,S,,,,S
S,,S,S,S,,,,,S
S,S,,,,S,,S,,S
,S,S,,S,,S,,,
,S,,,,S,S,,,
S,S,S,,,,,,S,
,,,S,,S,S,S,,S
,,,,S,,,,S,
S,,,S,S,S,,S,,
,S,,S,,S,S,S,,
,,S,,S,S,S,,,S
,,,,,,,,,S
,,,S,,,S,S,S,S
S,,,,S,,,S,S,
S,S,S,,,,S,,,S
S,S,S,,,,S,,,S
S,,,,S,S,S,,S,
S,,S,,,,S,S,,S
,,S,S,S,,,S,,S
S,S,,S,,,,S,,
S,,,,,S,,,S,S
,,,,,,S,,,
,,S,S,,,,S,S,S
,,,,S,,S,,S,
,S,S,,,S,S,S,,
,,S,S,,,S,,,
,S,,,,,,,S,
,,S,,,S,,S,,
S,S,S,S,S,,,,,
,S,,,S,,S,S,,
,,S,,,S,S,S,,S
S,S,S,,,S,S,,,
,,S,,S,S,,,,S
,S,S,,S,,S,,S,
,S,,S,S,S,S,,,
S,S,,,S,,,S,,S
S,S,,S,S,,,,,S
S,S,S,,,,,,S,S
S,S,S,S,,,,,S,
,,S,,S,S,,,,
,,,S,,,,S,S,S
S,S,,,,,,S,S,S
,S,,S,S,,,S,,S
S,S,S,,S,,,,,S
,,,,S,S,,S,S,
,,,,,,S,,,
,S,,,,,S,,,
S,,S,,S,,S,S,,
,S,S,S,,S,,,S,
S,S,,S,S,S,,,,
,,,,,S,,S,S,S
,,,S,S,,,,S,S
,,S,S,S,S,,,,S
,,,S,,,,S,,S
S,,,S,S,,S,,,S
,S,,,S,,,S,S,
S,S,,,S,,,S,,
S,,S,S,,,S,,S,
