"","Type","Source","Target"
"1","AHREF","http://www.puc-rio.br/sobrepuc/depto/ccpa/cpa/","http://www.puc-rio.br/"
"2","AHREF","http://www.puc-rio.br/sobrepuc/brasao/index.html","http://www.puc-rio.br/"
"3","AHREF","http://www.puc-rio.br/sobrepuc/depto/ccpa/cpa/plano.html","http://www.puc-rio.br/"
"4","AHREF","http://www.puc-rio.br/sobrepuc/admin/index.html","http://www.puc-rio.br/"
"5","AHREF","http://www.puc-rio.br/sobrepuc/depto/ccpa/cpa/contatos.html","http://www.puc-rio.br/"
"6","AHREF","http://www.puc-rio.br/sobrepuc/brasao/","http://www.puc-rio.br/"
"7","AHREF","http://www.puc-rio.br/sobrepuc/admin/ccs/","http://www.puc-rio.br/"
"8","AHREF","http://www.puc-rio.br/ensinopesq/academicas/","http://www.puc-rio.br/"
"9","AHREF","http://www.puc-rio.br/ensinopesq/ouvidoria/","http://www.puc-rio.br/"
"10","AHREF","http://www.puc-rio.br/ensinopesq/ccpg/","http://www.puc-rio.br/"
"11","AHREF","http://www.puc-rio.br/ensinopesq/ccg/","http://www.puc-rio.br/"
"12","AHREF","http://www.puc-rio.br/sobrepuc/admin/ccs/teses.html","http://www.puc-rio.br/"
"13","AHREF","http://www.puc-rio.br/ensinopesq/ccg/representacoes.html","http://www.puc-rio.br/"
"14","AHREF","http://www.puc-rio.br/ensinopesq/ccg/bolsas.html","http://www.puc-rio.br/"
"15","AHREF","http://www.puc-rio.br/ensinopesq/ccg/avaliacoes.html","http://www.puc-rio.br/"
"16","AHREF","http://www.puc-rio.br/ensinopesq/ccg/edu_fisica.html","http://www.puc-rio.br/"
"17","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/index.html","http://www.puc-rio.br/"
"18","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/galeria.html","http://www.puc-rio.br/"
"19","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/noticias.html","http://www.puc-rio.br/"
"20","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/galeria_silid-simar_201507.html","http://www.puc-rio.br/"
"21","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/galeria_v_congresso_lat-am_form_prof_linguas.html","http://www.puc-rio.br/"
"22","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/galeria_primeiro_encontro_institucional.html","http://www.puc-rio.br/"
"23","AHREF","http://www.puc-rio.br/sobrepuc/historia/index.html","http://www.puc-rio.br/"
"24","AHREF","http://www.puc-rio.br/ensinopesq/ccpg/relatorios.html","http://www.puc-rio.br/"
"25","AHREF","http://www.puc-rio.br/ensinopesq/ccpg/relatorios.html","http://www.puc-rio.br/"
"26","AHREF","http://www.puc-rio.br/ensinopesq/ccpg/espaco_do_pesquisador2.html","http://www.puc-rio.br/"
"27","AHREF","http://www.puc-rio.br/ensinopesq/ccpg/espaco_do_pesquisador2.html","http://www.puc-rio.br/"
"28","AHREF","http://www.puc-rio.br/ferramentas/eventos/visao/","http://www.puc-rio.br/"
"29","AHREF","http://www.puc-rio.br/ensinopesq/ccg/dominios.html","http://www.puc-rio.br/"
"30","AHREF","http://www.puc-rio.br/ensinopesq/ccpg/inscricoes.html","http://www.puc-rio.br/"
"31","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/bolsas_praticas.html","http://www.puc-rio.br/"
"32","AHREF","http://www.puc-rio.br/ensinopesq/ccg/pibid/galeria_2_encontro_pibid_filosofia.html","http://www.puc-rio.br/"
"33","AHREF","http://www.puc-rio.br/sobrepuc/admin/vrc/fies_aditamentos.html","http://www.puc-rio.br/"
"34","AHREF","http://www.puc-rio.br/sobrepuc/depto/dar/calendario/","http://www.puc-rio.br/"
"35","AHREF","http://www.puc-rio.br/ensinopesq/ccci/academico/dupldipl.html","http://www.puc-rio.br/"
