X;Y
0;1
0.0148121;0.996334
0.055808;0.985663
0.117827;0.968478
0.195708;0.945273
0.28429;0.916537
0.378412;0.882764
0.472915;0.844444
0.562635;0.802069
0.642414;0.756132
0.70709;0.707123
0.70709;0.707123
0.760167;0.653692
0.808463;0.594611
0.851789;0.53056
0.889955;0.462218
0.922773;0.390262
0.950052;0.315373
0.971604;0.238227
0.987238;0.159506
0.996767;0.0798856
1;4.63268e-05
1;4.63268e-05
0.996811;-0.0793795
0.987324;-0.157943
0.971726;-0.235241
0.950204;-0.310871
0.922946;-0.38443
0.890139;-0.455515
0.851969;-0.523724
0.808624;-0.588652
0.76029;-0.649898
0.707156;-0.707058
0.707156;-0.707058
0.649455;-0.759764
0.58761;-0.807788
0.522091;-0.850933
0.453369;-0.889005
0.381914;-0.921809
0.308195;-0.949152
0.232683;-0.970837
0.155849;-0.986669
0.0781621;-0.996456
9.26536e-05;-1
9.26536e-05;-1
-0.0778979;-0.997166
-0.155383;-0.988048
-0.231947;-0.972799
-0.307171;-0.951571
-0.380639;-0.924517
-0.451932;-0.891788
-0.520635;-0.853539
-0.58633;-0.809921
-0.648599;-0.761087
-0.707025;-0.707189
-0.707025;-0.707189
-0.761203;-0.648457
-0.810776;-0.585427
-0.855396;-0.518714
-0.894718;-0.448931
-0.928395;-0.376693
-0.956082;-0.302611
-0.977432;-0.227302
-0.992099;-0.151377
-0.999737;-0.0754516
-1;-0.00013898
-1;-0.00013898
-0.988935;0.08025
-0.96502;0.169149
-0.931556;0.26256
-0.891844;0.356486
-0.849185;0.446929
-0.806881;0.529891
-0.768231;0.601377
-0.736537;0.657387
-0.7151;0.693924
-0.707221;0.706992
