X;Y
102;0
101.996;0.911905
101.982;1.82374
101.961;2.73544
101.93;3.64693
101.891;4.55815
101.843;5.46903
101.787;6.37949
101.722;7.28947
101.648;8.19891
101.566;9.10772
101.476;10.0159
101.377;10.9232
101.27;11.8298
101.154;12.7354
101.031;13.6401
100.898;14.5438
100.758;15.4464
100.609;16.3478
100.452;17.2479
100.287;18.1468
100.114;19.0443
99.9332;19.9403
99.7439;20.8348
99.5467;21.7278
99.3414;22.6191
99.1282;23.5087
98.907;24.3965
98.678;25.2824
98.4411;26.1665
98.1964;27.0485
97.9439;27.9285
97.6836;28.8063
97.4157;29.682
97.14;30.5553
96.8566;31.4264
96.5657;32.295
96.2671;33.1612
95.961;34.0248
95.6474;34.8859
95.3262;35.7442
94.9977;36.5998
94.6616;37.4526
94.3182;38.3025
93.9674;39.1494
93.6093;39.9933
93.2439;40.8342
92.8713;41.6718
92.4914;42.5063
92.1043;43.3374
91.71;44.1652
91.3087;44.9896
90.9002;45.8104
90.4847;46.6277
90.0621;47.4414
89.6325;48.2513
89.196;49.0574
88.7525;49.8597
88.3022;50.6581
87.8449;51.4526
87.3809;52.2429
86.91;53.0292
86.4324;53.8112
85.948;54.589
85.457;55.3625
84.9593;56.1315
84.4549;56.8962
83.944;57.6562
83.4264;58.4117
82.9024;59.1625
82.3718;59.9086
81.8348;60.6498
81.2913;61.3862
80.7415;62.1177
80.1852;62.8441
79.6227;63.5655
79.0538;64.2817
78.4787;64.9926
77.8973;65.6983
77.3097;66.3987
76.7159;67.0936
76.116;67.783
75.51;68.4668
74.898;69.1451
74.2799;69.8176
73.6558;70.4843
73.0257;71.1453
72.3897;71.8003
71.7477;72.4493
71.0999;73.0923
70.4463;73.7292
69.7868;74.3599
69.1216;74.9844
68.4507;75.6025
67.774;76.2143
67.0916;76.8196
66.4037;77.4183
65.7101;78.0105
65.0109;78.596
64.3062;79.1748
63.596;79.7468
62.8803;80.3119
62.1592;80.8702
61.4328;81.4215
60.7011;81.966
59.9642;82.5035
59.2223;83.034
58.4753;83.5576
57.7233;84.0742
56.9665;84.5838
56.2049;85.0863
55.4385;85.5819
54.6675;86.0704
53.8919;86.5518
53.1118;87.0261
52.3272;87.4933
51.5383;87.9534
50.7451;88.4064
49.9477;88.8522
49.1461;89.2908
48.3405;89.7222
47.5309;90.1465
46.7174;90.5635
45.9;90.9732
45.0789;91.3758
44.254;91.771
43.4256;92.159
42.5936;92.5396
41.7581;92.9129
40.9193;93.2789
40.0771;93.6375
39.2317;93.9887
38.3831;94.3326
37.5314;94.669
36.6767;94.998
35.819;95.3196
34.9584;95.6337
34.0951;95.9403
33.229;96.2395
32.3603;96.5311
31.489;96.8152
30.6152;97.0918
29.739;97.3607
28.8604;97.6222
27.9795;97.876
27.0964;98.1222
26.2112;98.3607
25.3239;98.5917
24.4347;98.8149
23.5435;99.0305
22.6505;99.2384
21.7558;99.4385
20.8593;99.631
19.9612;99.8157
19.0616;99.9926
18.1606;100.162
17.2581;100.323
16.3544;100.477
15.4494;100.622
14.5432;100.76
13.6359;100.89
12.7277;101.012
11.8184;101.126
10.9083;101.233
9.99744;101.331
9.08583;101.421
8.17358;101.504
7.26075;101.578
6.34742;101.645
5.43367;101.703
4.51957;101.753
3.6052;101.796
2.69063;101.83
1.77593;101.856
0.861175;101.874
-0.0535542;101.884
-0.968187;101.886
-1.88265;101.879
-2.79686;101.865
-3.71076;101.842
-4.62426;101.811
-5.5373;101.772
-6.44979;101.725
-7.36166;101.669
-8.27284;101.605
-9.18326;101.533
-10.0928;101.452
-11.0015;101.363
-11.9092;101.266
-12.8158;101.16
-13.7213;101.047
-14.6255;100.924
-15.5285;100.793
-16.4301;100.654
-17.3303;100.507
-18.229;100.351
-19.1261;100.186
-20.0215;100.013
-20.9152;99.8314
-21.8071;99.6413
-22.6971;99.4426
-23.5852;99.2355
-24.4713;99.0197
-25.3552;98.7956
-26.2371;98.563
-27.1167;98.322
-27.9941;98.0727
-28.8692;97.8151
-29.7419;97.5493
-30.6122;97.2753
-31.48;96.9932
-32.3453;96.703
-33.2079;96.4048
-34.0679;96.0985
-34.9251;95.7843
-35.7795;95.4622
-36.6311;95.1323
-37.4798;94.7946
-38.3256;94.4491
-39.1682;94.0959
-40.0079;93.735
-40.8443;93.3665
-41.6776;92.9905
-42.5076;92.6069
-43.3342;92.2159
-44.1575;91.8175
-44.9774;91.4117
-45.7937;90.9985
-46.6065;90.5781
-47.4156;90.1504
-48.2211;89.7156
-49.0228;89.2736
-49.8207;88.8245
-50.6148;88.3684
-51.4049;87.9053
-52.1911;87.4352
-52.9732;86.9583
-53.7512;86.4745
-54.5251;85.9838
-55.2947;85.4865
-56.0601;84.9824
-56.8211;84.4716
-57.5778;83.9543
-58.3299;83.4304
-59.0776;82.8999
-59.8207;82.363
-60.5591;81.8197
-61.2928;81.2699
-62.0218;80.7139
-62.746;80.1516
-63.4653;79.583
-64.1797;79.0082
-64.8891;78.4274
-65.5934;77.8404
-66.2926;77.2473
-66.9866;76.6483
-67.6754;76.0434
-68.359;75.4325
-69.0371;74.8157
-69.7099;74.1932
-70.3772;73.5649
-71.0389;72.9309
-71.6951;72.2912
-72.3456;71.646
-72.9904;70.9951
-73.6294;70.3387
-74.2626;69.6769
-74.89;69.0096
-75.5113;68.3369
-76.1267;67.6589
-76.736;66.9757
-77.3392;66.2872
-77.9362;65.5935
-78.5269;64.8946
-79.1114;64.1907
-79.6894;63.4817
-80.2611;62.7677
-80.8263;62.0488
-81.3849;61.325
-81.9369;60.5963
-82.4823;59.8628
-83.0209;59.1245
-83.5528;58.3815
-84.0778;57.6339
-84.5959;56.8816
-85.1071;56.1248
-85.6112;55.3635
-86.1083;54.5976
-86.5982;53.8274
-87.081;53.0527
-87.5564;52.2738
-88.0246;51.4905
-88.4854;50.703
-88.9387;49.9113
-89.3845;49.1155
-89.8228;48.3156
-90.2535;47.5116
-90.6765;46.7036
-91.0917;45.8917
-91.4992;45.0758
-91.8988;44.2561
-92.2905;43.4326
-92.6743;42.6054
-93.0502;41.7745
-93.4182;40.94
-93.7782;40.1021
-94.1304;39.2606
-94.4746;38.4159
-94.8109;37.5678
-95.1393;36.7166
-95.4598;35.8622
-95.7724;35.0048
-96.0771;34.1444
-96.3738;33.2811
-96.6626;32.415
-96.9436;31.5462
-97.2166;30.6746
-97.4817;29.8005
-97.7389;28.9239
-97.9881;28.0448
-98.2295;27.1634
-98.4629;26.2797
-98.6885;25.3938
-98.9061;24.5057
-99.1158;23.6156
-99.3176;22.7235
-99.5114;21.8295
-99.6974;20.9337
-99.8754;20.0361
-100.046;19.1368
-100.208;18.236
-100.362;17.3336
-100.509;16.4298
-100.647;15.5246
-100.778;14.618
-100.9;13.7103
-101.015;12.8015
-101.122;11.8915
-101.221;10.9806
-101.312;10.0688
-101.395;9.1561
-101.47;8.24266
-101.537;7.32854
-101.597;6.4138
-101.648;5.49854
-101.692;4.58281
-101.727;3.66671
-101.755;2.7503
-101.775;1.83366
-101.787;0.916868
-101.79;3.64926e-07
-101.787;-0.916867
-101.775;-1.83366
-101.755;-2.7503
-101.727;-3.66671
-101.692;-4.58281
-101.648;-5.49854
-101.597;-6.4138
-101.537;-7.32854
-101.47;-8.24266
-101.395;-9.1561
-101.312;-10.0688
-101.221;-10.9806
-101.122;-11.8915
-101.015;-12.8015
-100.9;-13.7103
-100.778;-14.618
-100.647;-15.5245
-100.509;-16.4298
-100.362;-17.3336
-100.208;-18.236
-100.046;-19.1368
-99.8754;-20.0361
-99.6974;-20.9337
-99.5114;-21.8295
-99.3176;-22.7235
-99.1158;-23.6156
-98.9061;-24.5057
-98.6885;-25.3938
-98.4629;-26.2797
-98.2295;-27.1634
-97.9881;-28.0448
-97.7389;-28.9239
-97.4817;-29.8005
-97.2166;-30.6746
-96.9436;-31.5462
-96.6626;-32.415
-96.3738;-33.2811
-96.0771;-34.1444
-95.7724;-35.0048
-95.4598;-35.8622
-95.1393;-36.7166
-94.8109;-37.5678
-94.4746;-38.4159
-94.1304;-39.2606
-93.7782;-40.1021
-93.4182;-40.94
-93.0502;-41.7745
-92.6743;-42.6054
-92.2905;-43.4326
-91.8988;-44.2561
-91.4992;-45.0758
-91.0917;-45.8917
-90.6765;-46.7036
-90.2535;-47.5116
-89.8228;-48.3156
-89.3845;-49.1155
