X;Y
0;0
0.000217023;0.000101015
0.000863364;0.000404021
0.00193193;0.000908954
0.00341563;0.00161575
0.00530737;0.00252436
0.00760006;0.00363471
0.0102866;0.00494674
0.0133599;0.00646039
0.0168129;0.0081756
0.0206385;0.0100923
0.0248295;0.0122105
0.029379;0.01453
0.0342797;0.0170508
0.0395247;0.0197729
0.0451067;0.0226962
0.0510188;0.0258206
0.0572539;0.029146
0.0638047;0.0326725
0.0706644;0.0363999
0.0778256;0.0403282
0.0852815;0.0444573
0.0930248;0.0487872
0.101048;0.0533178
0.109345;0.058049
0.117909;0.0629808
0.126731;0.0681131
0.135805;0.0734458
0.145124;0.078979
0.154681;0.0847124
0.164469;0.0906462
0.174481;0.0967801
0.184709;0.103114
0.195146;0.109648
0.205786;0.116383
0.216621;0.123317
0.227644;0.130451
0.238848;0.137785
0.250227;0.145318
0.261772;0.153052
0.273477;0.160985
0.285335;0.169117
0.297338;0.177449
0.30948;0.185981
0.321753;0.194712
0.334151;0.203642
0.346666;0.212772
0.359291;0.222101
0.372019;0.231629
0.384843;0.241356
0.397756;0.251282
0.410751;0.261407
0.423821;0.271731
0.436958;0.282254
0.450156;0.292976
0.463407;0.303896
0.476704;0.315015
0.490041;0.326333
0.50341;0.337849
0.516804;0.349564
0.530215;0.361477
0.543638;0.373588
0.557065;0.385898
0.570488;0.398406
0.583901;0.411112
0.597296;0.424017
0.610667;0.437119
0.624006;0.450419
0.637306;0.463918
0.65056;0.477614
0.663762;0.491508
0.676903;0.505599
0.689977;0.519889
0.702977;0.534376
0.715896;0.54906
0.728726;0.563942
0.741461;0.579022
0.754093;0.594299
0.766615;0.609773
0.779021;0.625444
0.791303;0.641313
0.803453;0.657379
0.815466;0.673641
0.827334;0.690101
0.839049;0.706758
0.850605;0.723612
0.861994;0.740662
0.87321;0.757909
0.884246;0.775353
0.895093;0.792994
0.905746;0.810831
0.916197;0.828864
0.926439;0.847094
0.936465;0.865521
0.946268;0.884144
0.95584;0.902963
0.965175;0.921978
0.974266;0.94119
0.983105;0.960597
0.991685;0.980201
1;1
1.00815;1.02004
1.01625;1.04038
1.0243;1.06099
1.03231;1.08187
1.04027;1.10301
1.04819;1.12441
1.05607;1.14605
1.06392;1.16793
1.07174;1.19003
1.07952;1.21235
1.08728;1.23487
1.09501;1.2576
1.10272;1.28052
1.11041;1.30362
1.11808;1.32689
1.12575;1.35033
1.1334;1.37392
1.14104;1.39766
1.14867;1.42153
1.15631;1.44554
1.16394;1.46966
1.17158;1.4939
1.17922;1.51824
1.18687;1.54267
1.19453;1.56719
1.20221;1.59178
1.2099;1.61644
1.21761;1.64116
1.22534;1.66592
1.2331;1.69073
1.24088;1.71557
1.24869;1.74043
1.25654;1.76531
1.26442;1.79019
1.27234;1.81506
1.28031;1.83993
1.28831;1.86477
1.29636;1.88958
1.30446;1.91435
1.31262;1.93908
1.32082;1.96374
1.32909;1.98835
1.33741;2.01287
1.3458;2.03732
1.35425;2.06167
1.36277;2.08592
1.37137;2.11006
1.38003;2.13408
1.38877;2.15797
1.3976;2.18173
1.4065;2.20534
1.41549;2.2288
1.42456;2.25209
1.43373;2.27522
1.44299;2.29816
1.45234;2.32091
1.46179;2.34346
1.47135;2.36581
1.48101;2.38794
1.49077;2.40985
1.50064;2.43152
1.51063;2.45295
1.52073;2.47412
1.53094;2.49504
1.54128;2.51569
1.55174;2.53606
1.56233;2.55614
1.57304;2.57593
1.58389;2.59541
1.59487;2.61458
1.60598;2.63342
1.61724;2.65194
1.62863;2.67011
1.64017;2.68794
1.65186;2.70541
1.6637;2.72251
1.67569;2.73924
1.68784;2.75558
1.70015;2.77153
1.71262;2.78708
1.72525;2.80221
1.73804;2.81693
1.75101;2.83122
1.76415;2.84507
1.77746;2.85848
1.79096;2.87143
1.80463;2.88391
1.81848;2.89593
1.83252;2.90746
1.84675;2.9185
1.86117;2.92904
1.87578;2.93908
1.89059;2.94859
1.9056;2.95759
1.92081;2.96604
1.93623;2.97396
1.95186;2.98132
1.96769;2.98812
1.98374;2.99435
2;3
2.01648;3.00507
2.03317;3.00956
2.05008;3.0135
2.06719;3.01689
2.0845;3.01975
2.10201;3.02209
