X;Y
0;0
0.000219345;0.000161901
0.000872556;0.000645104
0.0019524;0.00144586
0.00345165;0.00256041
0.00536306;0.003985
0.00767941;0.00571589
0.0103935;0.00774933
0.013498;0.0100816
0.0169857;0.0127088
0.0208495;0.0156274
0.025082;0.0188335
0.0296761;0.0223233
0.0346245;0.0260933
0.0399199;0.0301395
0.0455552;0.0344582
0.0515231;0.0390457
0.0578163;0.0438982
0.0644277;0.049012
0.07135;0.0543833
0.078576;0.0600085
0.0860984;0.0658836
0.09391;0.072005
0.102004;0.0783689
0.110372;0.0849716
0.119008;0.0918093
0.127904;0.0988782
0.137053;0.106175
0.146448;0.113695
0.156082;0.121435
0.165947;0.129392
0.176036;0.137561
0.186341;0.145938
0.196857;0.154521
0.207575;0.163305
0.218488;0.172287
0.229589;0.181462
0.240871;0.190827
0.252326;0.200379
0.263948;0.210113
0.275728;0.220025
0.28766;0.230113
0.299737;0.240372
0.311951;0.250798
0.324296;0.261389
0.336763;0.272139
0.349345;0.283045
0.362036;0.294104
0.374829;0.305312
0.387715;0.316664
0.400688;0.328158
0.41374;0.339789
0.426864;0.351554
0.440054;0.363449
0.453301;0.37547
0.466599;0.387614
0.47994;0.399876
0.493317;0.412254
0.506723;0.424742
0.52015;0.437338
0.533592;0.450038
0.547041;0.462838
0.56049;0.475734
0.573931;0.488722
0.587358;0.501799
0.600763;0.514961
0.614139;0.528204
0.627479;0.541525
0.640775;0.554919
0.654021;0.568383
0.667209;0.581914
0.680331;0.595507
0.693381;0.609158
0.706351;0.622865
0.719234;0.636623
0.732023;0.650428
0.744711;0.664277
0.75729;0.678165
0.769754;0.69209
0.782094;0.706048
0.794304;0.720034
0.806376;0.734045
0.818304;0.748077
0.83008;0.762127
0.841696;0.77619
0.853146;0.790263
0.864422;0.804342
0.875518;0.818424
0.886425;0.832505
0.897136;0.84658
0.907646;0.860646
0.917945;0.8747
0.928027;0.888738
0.937885;0.902755
0.947511;0.916749
0.956898;0.930715
0.96604;0.94465
0.974928;0.958549
0.983555;0.97241
0.991915;0.986228
1;1
1.01244;1.02184
1.02463;1.04389
1.03659;1.06613
1.04832;1.08856
1.05983;1.11117
1.07111;1.13396
1.08218;1.15691
1.09304;1.18002
1.10371;1.20329
1.11417;1.2267
1.12445;1.25025
1.13454;1.27393
1.14446;1.29773
1.1542;1.32165
1.16378;1.34567
1.1732;1.3698
1.18247;1.39401
1.19158;1.41832
1.20056;1.4427
1.2094;1.46715
1.21811;1.49167
1.22669;1.51625
1.23516;1.54087
1.24351;1.56553
1.25176;1.59023
1.2599;1.61496
1.26795;1.6397
1.27592;1.66446
1.28379;1.68922
1.2916;1.71398
1.29933;1.73873
1.307;1.76346
1.3146;1.78816
1.32216;1.81284
1.32967;1.83747
1.33713;1.86206
1.34456;1.88659
1.35196;1.91106
1.35934;1.93546
1.3667;1.95979
1.37405;1.98403
1.38139;2.00818
1.38873;2.03223
1.39608;2.05618
1.40344;2.08001
1.41082;2.10372
1.41822;2.1273
1.42565;2.15075
1.43312;2.17405
1.44063;2.19721
1.44818;2.2202
1.45579;2.24303
1.46346;2.26569
1.4712;2.28817
1.479;2.31046
1.48688;2.33255
1.49485;2.35445
1.5029;2.37613
1.51105;2.3976
1.5193;2.41885
1.52766;2.43986
1.53613;2.46063
1.54472;2.48116
1.55343;2.50143
1.56227;2.52144
