X;Y
0;-3
0,012554;-3,02562
0,0238361;-3,04358
0,0339696;-3,05436
0,0430779;-3,05847
0,0512842;-3,05639
0,058712;-3,04862
0,0654844;-3,03567
0,0717249;-3,01801
0,0775566;-2,99616
0,083103;-2,97059
0,0884873;-2,94182
0,0938329;-2,91033
0,099263;-2,87661
0,104901;-2,84117
0,11087;-2,8045
0,117294;-2,76709
0,124295;-2,72944
0,131998;-2,69205
0,140525;-2,6554
0,15;-2,62
0,160514;-2,58624
0,172028;-2,55413
0,184472;-2,52359
0,197776;-2,49453
0,211868;-2,46686
0,22668;-2,44049
0,242139;-2,41535
0,258176;-2,39134
0,27472;-2,36837
0,2917;-2,34636
0,309046;-2,32523
0,326688;-2,30488
0,344555;-2,28523
0,362576;-2,2662
0,380682;-2,24769
0,3988;-2,22962
0,416862;-2,2119
0,434796;-2,19445
0,452532;-2,17718
0,47;-2,16
0,487149;-2,14284
0,504013;-2,12565
0,520645;-2,10842
0,5371;-2,09111
0,55343;-2,07368
0,569689;-2,05613
0,585932;-2,0384
0,602212;-2,02049
0,618582;-2,00235
0,635097;-1,98396
0,65181;-1,96529
0,668774;-1,94631
0,686044;-1,927
0,703674;-1,90732
0,721716;-1,88725
0,740224;-1,86676
0,759254;-1,84582
0,778857;-1,8244
0,799088;-1,80247
0,82;-1,78
0,841623;-1,75699
0,86389;-1,73349
0,886708;-1,70959
0,909986;-1,68537
0,933632;-1,66091
0,957553;-1,63629
0,981659;-1,61159
1,00586;-1,58688
1,03006;-1,56227
1,05416;-1,53781
1,07809;-1,5136
1,10173;-1,48971
1,12502;-1,46623
1,14784;-1,44323
1,17011;-1,4208
1,19174;-1,39902
1,21264;-1,37797
1,23271;-1,35773
1,25186;-1,33838
1,27;-1,32
1,28707;-1,30265
1,30311;-1,28627
1,31819;-1,27079
1,3324;-1,25613
1,34579;-1,24221
1,35846;-1,22896
1,37046;-1,21629
1,38188;-1,20414
1,39279;-1,19242
1,40325;-1,18106
1,41336;-1,16997
1,42317;-1,15909
1,43276;-1,14833
1,44221;-1,13762
1,45159;-1,12688
1,46097;-1,11603
1,47043;-1,10499
1,48004;-1,09369
1,48987;-1,08205
1,5;-1,07
1,51049;-1,05747
1,52132;-1,04446
1,53248;-1,03099
1,54395;-1,01709
1,55569;-1,00276
1,56769;-0,988031
1,57993;-0,97292
1,59238;-0,957443
1,60502;-0,94162
1,61782;-0,92547
1,63077;-0,909009
1,64384;-0,892258
1,65701;-0,875235
1,67025;-0,857958
1,68354;-0,840445
1,69687;-0,822716
1,7102;-0,804788
1,72351;-0,78668
1,73679;-0,768412
1,75;-0,75
1,76313;-0,731462
1,77615;-0,712802
1,78902;-0,694025
1,80173;-0,675134
