X;Y
0;-100
-0.691433;-99.5001
-2.66435;-98.0694
-5.77636;-95.8112
-9.8851;-92.829
-14.8482;-89.2261
-20.5232;-85.1058
-26.7679;-80.5717
-33.4398;-75.727
-40.3965;-70.6751
-47.4957;-65.5195
-54.5949;-60.3635
-61.5519;-55.3104
-68.2242;-50.4638
-74.4695;-45.9269
-80.1453;-41.8032
-85.1094;-38.1959
-89.2192;-35.2086
-92.3325;-32.9446
-94.3069;-31.5073
-95;-31
-95.017;-30.3807
-95.0365;-28.6082
-95.0262;-25.7874
-94.9538;-22.0231
-94.787;-17.4201
-94.4936;-12.0832
-94.0411;-6.11713
-93.3975;0.373176
-92.5302;7.28296
-91.4071;14.5074
-89.9959;21.9417
-88.2643;29.481
-86.1799;37.0206
-83.7104;44.4556
-80.8237;51.6812
-77.4874;58.5926
-73.6691;65.085
-69.3367;71.0536
-64.4577;76.3935
-59;81
-52.9323;84.8065
-46.3402;87.8328
-39.314;90.1423
-31.9441;91.7982
-24.3208;92.8636
-16.5344;93.402
-8.67531;93.4764
-0.833879;93.1501
6.89956;92.4864
14.4346;91.5484
21.681;90.3995
28.5484;89.1029
34.9464;87.7218
40.7846;86.3194
45.9727;84.959
50.4204;83.7038
54.0374;82.6171
56.7332;81.7621
58.4175;81.2019
59;81
59.2624;80.1866
60.0106;77.8619
61.1908;74.1939
62.7487;69.3504
64.6305;63.4993
66.7822;56.8086
69.1497;49.4461
71.6791;41.5797
74.3164;33.3774
77.0074;25.0071
79.6984;16.6366
82.3352;8.43388
84.8638;0.566821
87.2303;-6.79667
89.3806;-13.4887
91.2608;-19.3413
92.8168;-24.1867
93.9947;-27.8568
94.7404;-30.1839
95;-31
94.31;-31.5044
92.3381;-32.9395
89.2267;-35.2017
85.1182;-38.1878
80.155;-41.7942
74.4796;-45.9176
68.2344;-50.4544
61.5619;-55.3013
54.6043;-60.3548
47.5043;-65.5115
40.4042;-70.668
33.4464;-75.7209
26.7734;-80.5666
20.5276;-85.1018
14.8514;-89.2231
9.88731;-92.8269
5.77768;-95.81
2.66497;-98.0688
0.691597;-99.5
