X;Y
-0,66;-0,68
-0,659803;-0,679163
-0,659223;-0,676734
-0,658273;-0,672835
-0,656969;-0,667587
-0,655326;-0,661114
-0,653358;-0,653538
-0,65108;-0,64498
-0,648507;-0,635562
-0,645654;-0,625408
-0,642535;-0,614639
-0,639165;-0,603376
-0,63556;-0,591744
-0,631734;-0,579862
-0,627701;-0,567855
-0,623477;-0,555843
-0,619076;-0,54395
-0,614513;-0,532297
-0,609803;-0,521006
-0,60496;-0,5102
-0,6;-0,5
-0,594838;-0,490086
-0,589389;-0,480075
-0,583669;-0,470001
-0,577693;-0,459894
-0,571478;-0,449787
-0,565038;-0,439713
-0,558389;-0,429702
-0,551546;-0,419788
-0,544526;-0,410002
-0,537343;-0,400376
-0,530014;-0,390943
-0,522553;-0,381735
-0,514976;-0,372783
-0,507299;-0,36412
-0,499537;-0,355777
-0,491706;-0,347788
-0,483822;-0,340183
-0,475899;-0,332996
-0,467953;-0,326257
-0,46;-0,32
-0,452054;-0,314245
-0,444121;-0,308972
-0,436209;-0,304148
-0,42832;-0,299742
-0,420463;-0,295721
-0,412641;-0,292055
-0,404861;-0,28871
-0,397128;-0,285655
-0,389447;-0,282858
-0,381824;-0,280287
-0,374265;-0,27791
-0,366774;-0,275696
-0,359359;-0,273612
-0,352023;-0,271627
-0,344773;-0,269709
-0,337614;-0,267825
-0,330552;-0,265944
-0,323592;-0,264034
-0,316739;-0,262064
-0,31;-0,26
-0,303376;-0,25782
-0,296855;-0,255536
-0,290424;-0,253169
-0,284065;-0,250738
-0,277765;-0,248265
-0,271508;-0,245769
-0,265279;-0,243272
-0,259063;-0,240794
-0,252845;-0,238355
-0,246611;-0,235976
-0,240343;-0,233678
-0,234029;-0,231481
-0,227652;-0,229405
-0,221198;-0,227471
-0,214651;-0,2257
-0,207997;-0,224112
-0,201219;-0,222727
-0,194304;-0,221567
-0,187236;-0,220651
-0,18;-0,22
-0,17259;-0,219626
-0,165037;-0,219502
-0,15738;-0,219593
-0,14966;-0,219865
-0,141916;-0,220282
-0,134188;-0,220808
-0,126516;-0,221409
-0,118939;-0,222049
-0,111499;-0,222694
-0,104234;-0,223307
-0,0971839;-0,223855
-0,0903893;-0,224301
-0,0838897;-0,224611
-0,077725;-0,224748
-0,071935;-0,22468
-0,0665595;-0,224368
-0,0616384;-0,22378
-0,0572116;-0,222879
-0,0533188;-0,221631
-0,05;-0,22
-0,0472805;-0,217963
-0,045128;-0,215546
-0,0434956;-0,212786
-0,0423367;-0,209721
-0,0416044;-0,20639
-0,041252;-0,202829
-0,0412325;-0,199076
-0,0414994;-0,195169
-0,0420057;-0,191146
-0,0427048;-0,187044
-0,0435497;-0,182901
-0,0444937;-0,178755
-0,0454901;-0,174644
-0,046492;-0,170605
-0,0474527;-0,166676
-0,0483254;-0,162895
-0,0490632;-0,159299
-0,0496195;-0,155926
-0,0499473;-0,152814
-0,05;-0,15
-0,0497406;-0,147508
-0,0491715;-0,145305
-0,0483051;-0,143341
-0,0471536;-0,141569
-0,0457293;-0,139941
-0,0440446;-0,138408
-0,0421118;-0,136922
-0,0399431;-0,135436
-0,0375508;-0,1339
-0,0349473;-0,132268
-0,0321449;-0,13049
-0,0291558;-0,128518
-0,0259924;-0,126305
-0,0226669;-0,123802
-0,0191917;-0,120961
-0,015579;-0,117733
-0,0118412;-0,114072
-0,00799058;-0,109928
-0,00403941;-0,105253
0;-0,1
0,00411905;-0,0941411
0,00832394;-0,0877351
0,0126246;-0,0808621
0,017031;-0,0736019
0,0215529;-0,0660344
0,0262004;-0,0582397
0,0309834;-0,0502975
0,0359117;-0,0422879
0,0409953;-0,0342907
0,0462441;-0,0263858
0,051668;-0,0186532
0,0572769;-0,0111729
0,0630808;-0,00402465
0,0690896;0,00271153
0,0753131;0,00895575
0,0817614;0,0146281
0,0884443;0,0196486
0,0953718;0,0239373
0,102554;0,0274145
0,11;0,03
0,117711;0,0316464
0,125646;0,0324353
0,133755;0,0324807
0,14199;0,0318967
0,150299;0,0307974
0,158633;0,0292967
0,166942;0,0275086
0,175176;0,0255473
0,183286;0,0235267
0,191221;0,0215608
0,198932;0,0197637
0,206368;0,0182495
0,21348;0,0171321
0,220219;0,0165255
0,226533;0,0165438
0,232373;0,0173011
0,23769;0,0189113
0,242433;0,0214885
0,246553;0,0251467
0,25;0,03
0,252742;0,0361281
0,254823;0,0434741
0,256305;0,0519468
0,25725;0,0614549
0,257721;0,0719074
0,257778;0,083213
0,257485;0,0952805
0,256903;0,108019
0,256094;0,121336
0,255122;0,135143
0,254046;0,149346
0,25293;0,163855
0,251836;0,178579
0,250826;0,193426
0,249962;0,208306
0,249305;0,223127
0,248919;0,237799
0,248864;0,252229
0,249204;0,266326
0,25;0,28
0,251595;0,293572
0,254213;0,307359
0,257732;0,321263
0,262035;0,335185
0,267001;0,349027
0,272512;0,362689
0,278447;0,376074
0,284689;0,389084
0,291117;0,401618
0,297612;0,413579
0,304055;0,424869
0,310326;0,435389
0,316306;0,44504
0,321876;0,453724
0,326917;0,461342
0,331309;0,467796
0,334932;0,472988
0,337668;0,476818
0,339397;0,479188
