X;Y
0;0
0.00019569;0.000153752
0.000778895;0.000612836
0.00174382;0.00137399
0.00308465;0.00243397
0.0047956;0.0037895
0.00687087;0.00543734
0.00930466;0.00737421
0.0120912;0.00959688
0.0152246;0.0121021
0.0186991;0.0148865
0.022509;0.017947
0.0266484;0.0212802
0.0311115;0.024883
0.0358925;0.0287519
0.0409857;0.0328839
0.0463851;0.0372755
0.0520851;0.0419237
0.0580798;0.046825
0.0643635;0.0519763
0.0709302;0.0573743
0.0777743;0.0630158
0.08489;0.0688974
0.0922713;0.0750159
0.0999126;0.0813681
0.107808;0.0879507
0.115952;0.0947604
0.124338;0.101794
0.132961;0.109048
0.141815;0.11652
0.150894;0.124206
0.160192;0.132102
0.169704;0.140207
0.179424;0.148515
0.189345;0.157025
0.199463;0.165732
0.209771;0.174634
0.220264;0.183728
0.230935;0.193009
0.241779;0.202475
0.252791;0.212123
0.263963;0.221949
0.275292;0.23195
0.28677;0.242123
0.298392;0.252464
0.310152;0.262971
0.322044;0.273639
0.334063;0.284467
0.346203;0.295449
0.358457;0.306584
0.370821;0.317868
0.383288;0.329298
0.395853;0.34087
0.408509;0.352582
0.421252;0.364429
0.434074;0.376409
0.446971;0.388518
0.459937;0.400754
0.472965;0.413112
0.48605;0.42559
0.499186;0.438184
0.512368;0.450892
0.525589;0.463709
0.538844;0.476634
0.552127;0.489661
0.565432;0.502788
0.578753;0.516013
0.592085;0.529331
0.605421;0.542739
0.618757;0.556234
0.632086;0.569813
0.645402;0.583473
0.6587;0.59721
0.671973;0.611021
0.685216;0.624903
0.698424;0.638852
0.71159;0.652866
0.724708;0.66694
0.737773;0.681072
0.75078;0.695259
0.763721;0.709497
0.776592;0.723783
0.789386;0.738114
0.802098;0.752486
0.814722;0.766897
0.827252;0.781342
0.839683;0.795819
0.852008;0.810324
0.864221;0.824855
0.876318;0.839408
0.888292;0.853979
0.900138;0.868565
0.911848;0.883164
0.923419;0.897772
0.934844;0.912385
0.946116;0.927001
0.957232;0.941615
0.968183;0.956226
0.978966;0.970829
0.989573;0.985421
1;1
1.01631;1.02317
1.03256;1.04662
1.04874;1.07031
1.06486;1.09426
1.08092;1.11844
1.0969;1.14284
1.11281;1.16746
1.12865;1.19229
1.14441;1.21732
1.1601;1.24252
1.1757;1.26791
1.19123;1.29346
1.20667;1.31916
1.22202;1.34501
1.23729;1.371
1.25247;1.3971
1.26755;1.42333
1.28255;1.44966
1.29744;1.47608
1.31224;1.50259
1.32694;1.52917
1.34154;1.55581
