Ano;Estado;Populacao
2001;RO;422000
2001;AC;179000
2001;AM;903000
2001;RR;122000
2001;PA;1915000
2001;AP;176000
2001;TO;616000
2001;MA;2802000
2001;PI;1375000
2001;CE;3620000
2001;RN;1255000
2001;PB;1483000
2001;PE;3744000
2001;AL;1299000
2001;SE;848000
2001;BA;6318000
2001;MG;9247000
2001;ES;1642000
2001;RJ;6965000
2001;SP;19015000
2001;PR;5141000
2001;SC;2985000
2001;RS;5705000
2001;MS;1075000
2001;MT;1346000
2001;GO;2659000
2001;DF;1091000
2002;RO;472000
2002;AC;193000
2002;AM;958000
2002;RR;108000
2002;PA;2028000
2002;AP;204000
2002;TO;633000
2002;MA;2804000
2002;PI;1543000
2002;CE;3670000
2002;RN;1209000
2002;PB;1641000
2002;PE;3891000
2002;AL;1225000
2002;SE;913000
2002;BA;6658000
2002;MG;9647000
2002;ES;1719000
2002;RJ;7145000
2002;SP;19557000
2002;PR;5332000
2002;SC;3105000
2002;RS;5815000
2002;MS;1171000
2002;MT;1363000
2002;GO;2711000
2002;DF;1120000
2003;RO;483000
2003;AC;191000
2003;AM;1051000
2003;RR;138000
2003;PA;2118000
2003;AP;198000
2003;TO;663000
2003;MA;2864000
2003;PI;1592000
2003;CE;3842000
2003;RN;1321000
2003;PB;1678000
2003;PE;3924000
2003;AL;1242000
2003;SE;943000
2003;BA;6662000
2003;MG;9749000
2003;ES;1757000
2003;RJ;7310000
2003;SP;19884000
2003;PR;5398000
2003;SC;3189000
2003;RS;5940000
2003;MS;1173000
2003;MT;1375000
2003;GO;2763000
2003;DF;1145000
2004;RO;782000
2004;AC;318000
2004;AM;1433000
2004;RR;168000
2004;PA;3395000
2004;AP;240000
2004;TO;682000
2004;MA;2981000
2004;PI;1654000
2004;CE;3919000
2004;RN;1348000
2004;PB;1697000
2004;PE;3953000
2004;AL;1264000
2004;SE;1003000
2004;BA;6906000
2004;MG;9860000
2004;ES;1778000
2004;RJ;7499000
2004;SP;20198000
2004;PR;5542000
2004;SC;3321000
2004;RS;5937000
2004;MS;1185000
2004;MT;1511000
2004;GO;2910000
2004;DF;1177000
2005;RO;791000
2005;AC;317000
2005;AM;1527000
2005;RR;211000
2005;PA;3446000
2005;AP;264000
2005;TO;694000
2005;MA;3122000
2005;PI;1647000
2005;CE;4099000
2005;RN;1423000
2005;PB;1769000
2005;PE;4122000
2005;AL;1326000
2005;SE;1032000
2005;BA;7059000
2005;MG;10272000
2005;ES;1837000
2005;RJ;7653000
2005;SP;21173000
2005;PR;5561000
2005;SC;3366000
2005;RS;6011000
2005;MS;1231000
2005;MT;1551000
2005;GO;2971000
2005;DF;1272000
2006;RO;777000
2006;AC;342000
2006;AM;1499000
2006;RR;221000
2006;PA;3493000
2006;AP;254000
2006;TO;702000
2006;MA;3048000
2006;PI;1625000
2006;CE;4127000
2006;RN;1472000
2006;PB;1832000
2006;PE;4118000
2006;AL;1381000
2006;SE;1017000
2006;BA;7005000
2006;MG;10525000
2006;ES;1858000
2006;RJ;7817000
2006;SP;21514000
2006;PR;5696000
2006;SC;3449000
2006;RS;6026000
2006;MS;1279000
2006;MT;1519000
2006;GO;3015000
2006;DF;1280000
2007;RO;796000
2007;AC;336000
2007;AM;1481000
2007;RR;222000
2007;PA;3525000
2007;AP;297000
2007;TO;705000
2007;MA;3184000
2007;PI;1643000
2007;CE;4126000
2007;RN;1548000
2007;PB;1723000
2007;PE;4155000
2007;AL;1377000
2007;SE;1012000
2007;BA;7038000
2007;MG;10416000
2007;ES;1854000
2007;RJ;7803000
2007;SP;21896000
2007;PR;5764000
2007;SC;3538000
2007;RS;6055000
2007;MS;1296000
2007;MT;1568000
2007;GO;3173000
2007;DF;1344000
2008;RO;809000
2008;AC;347000
2008;AM;1521000
2008;RR;211000
2008;PA;3595000
2008;AP;321000
2008;TO;759000
2008;MA;3048000
2008;PI;1716000
2008;CE;4307000
2008;RN;1585000
2008;PB;1736000
2008;PE;4149000
2008;AL;1323000
2008;SE;1003000
2008;BA;7343000
2008;MG;10651000
2008;ES;1888000
2008;RJ;8025000
2008;SP;22276000
2008;PR;5735000
2008;SC;3512000
2008;RS;6048000
2008;MS;1332000
2008;MT;1614000
2008;GO;3251000
2008;DF;1371000
2009;RO;856000
2009;AC;363000
2009;AM;1658000
2009;RR;217000
2009;PA;3600000
2009;AP;302000
2009;TO;777000
2009;MA;3025000
2009;PI;1693000
2009;CE;4378000
2009;RN;1635000
2009;PB;1665000
2009;PE;4092000
2009;AL;1368000
2009;SE;1055000
2009;BA;7455000
2009;MG;10986000
2009;ES;1948000
2009;RJ;8125000
2009;SP;22533000
2009;PR;5821000
2009;SC;3690000
2009;RS;6082000
2009;MS;1343000
2009;MT;1666000
2009;GO;3357000
2009;DF;1387000
