"All Outlinks"
"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"REDIRECT","http://www.puc-rio.br/","http://www.puc-rio.br/index.html","47000","","HTTP Redirect","200","OK",""
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/vestibular","156","","Vestibular","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/ccg","160","","Graduação","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/ccpg","161","","Pós-Graduação e Pesquisa","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/ccci","161","","Intercâmbio Internacional","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/mensagem","163","","Mensagem do Reitor","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/historia/","26397","","Missão e Marco Referencial","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/admin/","35113","","Administração","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/brasao/","24499","","Identidade Corporativa","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/assessoria_comunicacao.html","31618","","Assessoria de Comunicação Social","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/admin/","35113","","Reitoria e Vice-reitorias","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/admin/","35113","","Centros","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/depto","160","","Departamentos e Unidades","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/projetos","163","","Ações Comunitárias e Culturais","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/agendaambiental","206","","Agenda Ambiental","302","Redirect","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/campus","161","","Campus","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/anuarios","163","","Anuários","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/faleconosco/","22145","","Fale conosco","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/depto/dar","164","","Admissão e Registro","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/depto/dar/calendario","175","","Calendário Escolar","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/microhorario","347","","Horário das Disciplinas","302","Redirect","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/academicas","167","","Alunos","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/academicas/indexprof.html","28016","","Professores/Funcionários","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/bolsasefinanciamentos","178","","Bolsas e Financiamentos","301","Moved Permanently","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/ccci/","14411","","Intercâmbio Internacional","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/depto/ccpa/cpa/","32857","","Avaliação Acadêmica – CPA","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ferramentas/editais/visao/index.html","186535","","Editais Acadêmicos","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/sobrepuc/admin/vrad/cal_administrativo.html","23179","","Calendário Administrativo","200","OK","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/correio","161","","Correio Eletrônico (e-mail)","302","Redirect","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/igreja","186","","Igreja do Sagrado Coração de Jesus","302","Redirect","true"
"AHREF","http://www.puc-rio.br/index.html","http://www.puc-rio.br/ensinopesq/ouvidoria","166","","Ouvidoria","301","Moved Permanently","true"
